Term,STRM,COLL,DEPT,SUBJECT,CAT No,SECTION,ENRL TTL,ENRL A TO F,GPA,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,NC,I,IC,RD,RP,SP,W,WU,CLASS No
F16,2169,AL,ART,ART,1810,01,27,26,3.67,14,4,5,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,91033
F16,2169,AL,ART,ART,2090,01,34,34,2.93,16,0,0,8,0,0,5,1,0,0,0,4,0,0,0,0,0,0,0,0,0,90845
F16,2169,AL,ART,ART,2100,01,42,41,2.76,9,8,4,4,0,3,2,5,0,3,0,3,0,0,1,0,0,0,0,0,0,91059
F16,2169,AL,ART,ART,2111,01,18,17,3.16,6,3,0,4,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,91072
F16,2169,AL,ART,ART,2130,01,23,22,2.56,4,0,1,5,3,1,4,1,0,2,0,1,0,0,1,0,0,0,0,0,0,91065
F16,2169,AL,ART,ART,2200,01,23,21,3.43,11,4,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,91035
F16,2169,AL,ART,ART,2200,02,23,22,3.75,10,9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,91036
F16,2169,AL,ART,ART,2330,01,24,23,3.13,3,3,5,7,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,90995
F16,2169,AL,ART,ART,2330,02,26,26,2.82,2,3,5,5,3,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,90996
F16,2169,AL,ART,ART,2370,01,29,29,3.74,15,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90982
F16,2169,AL,ART,ART,2440,01,28,27,2.94,3,4,5,3,5,3,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,91289
F16,2169,AL,ART,ART,2800,01,46,44,3.17,3,19,2,9,6,0,0,3,1,1,0,0,0,0,1,0,0,0,0,1,0,95139
F16,2169,AL,ART,ART,2870,01,24,23,3.05,3,7,3,4,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,91290
F16,2169,AL,ART,ART,3050,01,13,13,3.07,2,2,4,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,91110
F16,2169,AL,ART,ART,3070,01,15,14,3.49,4,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,91124
F16,2169,AL,ART,ART,3080,01,23,23,3.21,0,6,6,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90985
F16,2169,AL,ART,ART,3100,01,15,15,3.63,10,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91086
F16,2169,AL,ART,ART,3130,01,27,27,2.82,6,4,4,4,2,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,1,91037
F16,2169,AL,ART,ART,3130,02,16,16,2.79,0,4,0,4,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,96842
F16,2169,AL,ART,ART,3160,01,15,14,3.79,11,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,90846
F16,2169,AL,ART,ART,3170,01,32,32,3.08,14,2,0,7,2,0,3,1,0,1,0,2,0,0,0,0,0,0,0,0,0,94917
F16,2169,AL,ART,ART,3170,02,33,30,3.13,13,0,0,10,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,3,0,96660
F16,2169,AL,ART,ART,3220,01,16,16,2.4,2,3,0,3,2,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,91038
F16,2169,AL,ART,ART,3560,01,25,24,3.03,0,2,10,9,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,90838
F16,2169,AL,ART,ART,3560,03,32,32,3.18,5,3,10,8,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,94097
F16,2169,AL,ART,ART,3640,01,25,23,3.74,16,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,94913
F16,2169,AL,ART,ART,3740,01,24,24,3.62,10,6,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91170
F16,2169,AL,ART,ART,3760,01,28,24,3,6,2,3,3,3,1,4,2,0,0,0,0,0,0,2,0,0,0,0,2,0,90787
F16,2169,AL,ART,ART,3810,01,10,10,3.25,0,4,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90789
F16,2169,AL,ART,ART,3830,01,20,19,2.84,1,2,4,7,0,1,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,90791
F16,2169,AL,ART,ART,3870,01,18,17,3.01,2,8,2,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,94915
F16,2169,AL,ART,ART,3880,01,25,25,3.56,17,0,4,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,95119
F16,2169,AL,ART,ART,4000,01,23,23,3.6,16,0,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90848
F16,2169,AL,ART,ART,4010,01,23,21,3.77,10,7,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,91355
F16,2169,AL,ART,ART,4030,01,19,19,3.57,12,0,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,91089
F16,2169,AL,ART,ART,4040,01,21,21,2.94,4,4,1,6,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,91077
F16,2169,AL,ART,ART,4080,01,25,22,3.52,2,10,8,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,90983
F16,2169,AL,ART,ART,4120,01,12,12,3.67,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91167
F16,2169,AL,ART,ART,4130,01,24,20,3.45,3,6,8,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,95118
F16,2169,AL,ART,ART,4140,01,15,15,3.73,9,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91039
F16,2169,AL,ART,ART,4150,01,15,15,3.35,4,4,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,91107
F16,2169,AL,ART,ART,4170,01,10,10,3.77,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91172
F16,2169,AL,ART,ART,4180,01,29,27,3.86,16,10,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,91041
F16,2169,AL,ART,ART,4220,01,13,13,2.91,2,3,2,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,91042
F16,2169,AL,ART,ART,4260,01,42,40,2.31,10,3,1,5,1,2,6,1,0,2,0,7,0,0,1,0,0,0,0,1,2,90975
F16,2169,AL,ART,ART,4450,01,26,25,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,90991
F16,2169,AL,ART,ART,4490,01,12,12,3.29,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91181
F16,2169,AL,ART,ART,4541,01,17,15,2.68,0,1,0,7,5,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,94919
F16,2169,AL,ART,ART,4570,01,29,27,2.98,10,4,2,3,0,1,2,1,0,2,0,1,0,0,0,0,0,0,0,2,1,90881
F16,2169,AL,ART,ART,4870,01,11,10,3.84,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,91356
F16,2169,AL,ART,ART,4880,01,13,13,3.62,5,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95121
F16,2169,AL,ART,ART,4921,01,17,17,3.06,2,3,4,2,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,90786
F16,2169,AL,ART,ART,4925,01,21,21,3.19,5,2,5,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90987
F16,2169,AL,ART,ART,4940,01,29,29,2.84,1,6,6,4,4,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,90784
F16,2169,AL,ART,ART,5013,01,11,11,3.12,1,1,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90886
F16,2169,AL,ART,ART,5310,01,19,18,3.68,5,9,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,90844
F16,2169,AL,ART,ART,5540,01,19,18,3.98,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,91359
F16,2169,AL,CNED,COMM,3890,93,15,14,2.52,5,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,97375
F16,2169,AL,CNED,LBS,3010,93,12,12,2.75,6,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,97376
F16,2169,AL,CNED,LBS,3020,93,11,11,3.09,7,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,97377
F16,2169,AL,COMS,COMM,1100,01,27,27,2.56,2,2,3,8,1,2,2,5,0,0,0,2,0,0,0,0,0,0,0,0,0,92086
F16,2169,AL,COMS,COMM,1100,02,27,27,2.6,7,1,3,2,2,3,3,2,0,1,0,3,0,0,0,0,0,0,0,0,0,92103
F16,2169,AL,COMS,COMM,1100,03,27,27,2.77,0,6,4,5,5,2,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,92104
F16,2169,AL,COMS,COMM,1100,04,27,27,3,3,2,4,8,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92105
F16,2169,AL,COMS,COMM,1100,05,27,27,3.29,5,7,6,6,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,92106
F16,2169,AL,COMS,COMM,1100,06,26,26,2.84,5,6,2,3,3,1,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,92107
F16,2169,AL,COMS,COMM,1100,07,27,26,2.16,1,2,4,3,4,1,3,2,0,0,0,6,0,0,0,0,0,0,0,1,0,92108
F16,2169,AL,COMS,COMM,1100,08,27,27,3.54,13,4,2,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92109
F16,2169,AL,COMS,COMM,1100,09,27,27,2.7,4,4,2,5,3,3,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,92110
F16,2169,AL,COMS,COMM,1100,10,26,26,2.5,2,4,2,4,1,2,7,1,0,0,1,2,0,0,0,0,0,0,0,0,0,92111
F16,2169,AL,COMS,COMM,1100,11,26,26,2.95,6,3,5,0,5,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,92112
F16,2169,AL,COMS,COMM,1100,12,27,27,2.43,3,4,1,2,4,0,4,4,3,0,0,2,0,0,0,0,0,0,0,0,0,92113
F16,2169,AL,COMS,COMM,1100,13,27,27,3.17,7,6,2,5,4,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,92114
F16,2169,AL,COMS,COMM,1100,14,27,27,3.38,9,5,5,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92115
F16,2169,AL,COMS,COMM,1100,15,27,27,3.26,6,5,6,4,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92116
F16,2169,AL,COMS,COMM,1100,16,26,26,2.39,0,2,2,3,6,2,7,2,0,1,0,1,0,0,0,0,0,0,0,0,0,92117
F16,2169,AL,COMS,COMM,1100,17,27,27,2.75,3,3,2,4,6,4,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,92118
F16,2169,AL,COMS,COMM,1100,18,27,27,2.83,2,2,7,7,4,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,92119
F16,2169,AL,COMS,COMM,1100,19,27,27,2.61,1,2,4,6,4,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,92122
F16,2169,AL,COMS,COMM,1100,20,27,27,2.7,3,3,3,6,3,0,5,1,0,2,0,1,0,0,0,0,0,0,0,0,0,92123
F16,2169,AL,COMS,COMM,1100,21,27,26,3.3,10,4,5,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,92124
F16,2169,AL,COMS,COMM,1100,22,27,26,3.15,2,9,7,1,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,92125
F16,2169,AL,COMS,COMM,1100,23,27,27,3.03,6,5,5,0,3,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,92126
F16,2169,AL,COMS,COMM,1100,24,27,27,3.11,1,9,2,12,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,92127
F16,2169,AL,COMS,COMM,1100,25,27,27,3.01,4,3,6,4,4,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,92128
F16,2169,AL,COMS,COMM,1100,26,27,27,2.85,1,2,7,3,6,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,92129
F16,2169,AL,COMS,COMM,1100,27,26,26,3.06,0,9,3,8,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,92130
F16,2169,AL,COMS,COMM,1100,28,27,27,3.14,5,10,4,3,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,92131
F16,2169,AL,COMS,COMM,1100,29,27,26,3.15,6,6,2,4,4,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,92132
F16,2169,AL,COMS,COMM,1100,30,25,25,2.32,0,0,3,5,3,7,3,1,1,0,0,2,0,0,0,0,0,0,0,0,0,92133
F16,2169,AL,COMS,COMM,1100,31,27,26,3.06,7,4,2,4,4,0,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,92134
F16,2169,AL,COMS,COMM,1100,32,23,23,3.2,4,4,2,10,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92135
F16,2169,AL,COMS,COMM,1100,33,27,26,2.99,4,4,3,9,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,92136
F16,2169,AL,COMS,COMM,1100,34,25,25,2.73,2,3,5,4,2,5,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,92137
F16,2169,AL,COMS,COMM,1100,35,27,27,3,6,2,4,4,5,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,92138
F16,2169,AL,COMS,COMM,1100,36,27,27,2.32,0,2,2,9,0,3,4,4,0,0,0,3,0,0,0,0,0,0,0,0,0,92139
F16,2169,AL,COMS,COMM,1100,37,26,26,2.88,5,0,6,9,1,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,92140
F16,2169,AL,COMS,COMM,1100,38,27,27,2.88,3,3,4,7,4,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,92141
F16,2169,AL,COMS,COMM,1100,39,27,27,2.71,3,0,4,7,4,4,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,92142
F16,2169,AL,COMS,COMM,1100,40,27,27,2.32,0,2,0,4,6,8,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,92143
F16,2169,AL,COMS,COMM,1100,41,26,26,3.03,3,6,5,6,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,92144
F16,2169,AL,COMS,COMM,1100,42,27,26,3.23,4,5,3,10,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,92145
F16,2169,AL,COMS,COMM,1100,43,27,26,2.97,8,2,4,5,1,0,0,4,0,0,0,2,0,0,0,0,0,0,0,1,0,92146
F16,2169,AL,COMS,COMM,1100,44,27,27,2.75,4,2,2,6,7,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,92147
F16,2169,AL,COMS,COMM,1100,45,27,27,2.58,1,6,4,3,2,3,4,0,0,1,0,3,0,0,0,0,0,0,0,0,0,92148
F16,2169,AL,COMS,COMM,1100,46,27,27,2.79,3,2,2,6,6,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,92149
F16,2169,AL,COMS,COMM,1100,47,27,27,2.93,4,4,6,6,2,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,92150
F16,2169,AL,COMS,COMM,1100,48,27,27,2.99,3,4,4,7,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,92151
F16,2169,AL,COMS,COMM,1100,49,27,27,2.89,4,3,7,5,3,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,92152
F16,2169,AL,COMS,COMM,1100,50,25,25,2.44,0,3,3,4,5,3,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,92153
F16,2169,AL,COMS,COMM,1100,51,27,27,3.2,6,3,4,8,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,92154
F16,2169,AL,COMS,COMM,1100,52,27,27,2.86,5,6,2,4,3,1,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,92155
F16,2169,AL,COMS,COMM,1100,53,26,26,2.99,5,5,2,7,3,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,92156
F16,2169,AL,COMS,COMM,1100,54,24,24,3.44,5,9,4,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92157
F16,2169,AL,COMS,COMM,1100,55,26,26,2.96,5,3,2,7,3,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,92158
F16,2169,AL,COMS,COMM,1100,56,26,25,3.36,9,7,2,2,2,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,92159
F16,2169,AL,COMS,COMM,1100,57,27,27,2.99,3,6,4,8,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,92160
F16,2169,AL,COMS,COMM,1100,58,26,26,2.66,2,1,2,7,5,3,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,92161
F16,2169,AL,COMS,COMM,1100,59,25,25,2.01,1,2,1,3,1,6,2,1,2,1,1,4,0,0,0,0,0,0,0,0,0,92162
F16,2169,AL,COMS,COMM,1100,60,24,24,2.84,7,3,1,5,1,1,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,92163
F16,2169,AL,COMS,COMM,1100,61,27,27,2.93,7,5,0,5,5,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,96888
F16,2169,AL,COMS,COMM,1100,62,25,25,3.03,5,4,2,5,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,96889
F16,2169,AL,COMS,COMM,1100,63,27,27,2.77,3,6,2,1,6,3,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,96890
F16,2169,AL,COMS,COMM,1100,64,27,27,3.06,3,7,3,4,6,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,96891
F16,2169,AL,COMS,COMM,1100,65,26,26,2.74,1,5,6,3,4,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,96892
F16,2169,AL,COMS,COMM,1100,66,26,26,2.59,2,4,4,3,3,3,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,96992
F16,2169,AL,COMS,COMM,1100,67,27,27,2.66,2,0,4,5,8,2,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,96993
F16,2169,AL,COMS,COMM,1100,68,27,27,2.49,4,1,0,5,6,0,7,0,1,1,0,2,0,0,0,0,0,0,0,0,0,96994
F16,2169,AL,COMS,COMM,1100,69,26,26,2.31,0,1,2,6,4,2,6,2,0,1,0,2,0,0,0,0,0,0,0,0,0,96995
F16,2169,AL,COMS,COMM,1100,70,27,25,2.76,7,0,4,3,3,0,4,0,2,0,0,2,0,0,0,0,0,0,0,2,0,96996
F16,2169,AL,COMS,COMM,1100,71,27,26,2.63,1,2,8,6,3,0,0,2,0,1,0,3,0,0,0,0,0,0,0,1,0,97400
F16,2169,AL,COMS,COMM,1100,72,16,16,1.83,1,1,2,2,1,2,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,97509
F16,2169,AL,COMS,COMM,1200,01,24,24,1.81,2,0,0,2,5,1,4,1,0,4,0,5,0,0,0,0,0,0,0,0,0,92178
F16,2169,AL,COMS,COMM,1200,02,24,22,2.88,1,1,2,11,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,92179
F16,2169,AL,COMS,COMM,1200,03,23,23,2.67,2,1,3,4,5,4,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,92180
F16,2169,AL,COMS,COMM,1200,04,26,26,3.03,2,10,1,4,3,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,92181
F16,2169,AL,COMS,COMM,1200,05,22,22,2.59,3,4,5,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,96296
F16,2169,AL,COMS,COMM,1200,06,25,24,2.82,3,3,6,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,96297
F16,2169,AL,COMS,COMM,1200,07,22,19,2.55,3,2,1,5,2,0,2,0,1,0,0,2,0,0,0,0,0,0,0,3,1,96298
F16,2169,AL,COMS,COMM,1200,08,25,25,2.86,4,4,1,3,6,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,96299
F16,2169,AL,COMS,COMM,1200,09,25,25,2.52,1,4,0,4,3,5,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,96300
F16,2169,AL,COMS,COMM,1200,10,25,25,2.62,2,4,0,6,3,3,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,96301
F16,2169,AL,COMS,COMM,1200,11,25,24,3.02,4,1,3,11,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,97085
F16,2169,AL,COMS,COMM,1800,01,79,79,2.63,10,11,10,13,4,6,7,5,2,3,3,5,0,0,0,0,0,0,0,0,0,92182
F16,2169,AL,COMS,COMM,1800,02,75,73,2.55,6,6,5,11,12,11,11,3,3,2,0,3,0,0,0,0,0,0,0,2,0,92183
F16,2169,AL,COMS,COMM,1800,03,66,63,2.61,5,6,12,10,7,6,6,2,1,3,0,5,0,0,0,0,0,0,0,3,0,97135
