Term,STRM,COLL,DEPT,SUBJECT,CAT No,SECTION,ENRL TTL,ENRL A TO F,GPA,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,NC,I,IC,RD,RP,SP,W,WU,CLASS No
F16,2169,AL,ALD,AL,1010,01,28,28,3.26,0,9,10,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94922
F16,2169,AL,ALD,AL,1010,02,30,30,3.21,0,12,3,8,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94923
F16,2169,AL,ALD,AL,1010,03,33,32,3.41,2,14,9,4,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,94924
F16,2169,AL,ALD,AL,1010,04,30,28,3.54,10,9,3,4,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,94925
F16,2169,AL,ALD,AL,1010,05,28,22,3.56,8,5,3,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,94926
F16,2169,AL,ALD,AL,1010,06,30,27,3.8,19,4,2,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,94927
F16,2169,AL,ALD,AL,1010,09,27,26,3.44,11,5,3,1,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,95060
F16,2169,AL,ALD,AL,1010,10,29,26,3.55,10,7,5,1,1,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,95064
F16,2169,AL,ALD,AL,1010,11,30,26,3.25,10,3,2,4,0,3,4,0,0,0,0,0,0,3,0,0,0,0,0,1,0,96760
F16,2169,AL,ALD,AL,1010,12,30,22,3.53,11,5,1,0,1,4,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,97366
F16,2169,AL,ART,ART,1011,01,110,105,2.04,11,10,7,16,5,2,15,5,1,4,0,21,0,0,0,0,0,0,0,5,8,90001
F16,2169,AL,ART,ART,1011,02,89,88,2.41,0,13,18,7,10,7,7,12,5,0,0,9,0,0,1,0,0,0,0,0,0,90002
F16,2169,AL,ART,ART,1012,01,93,88,2.49,19,8,5,17,4,3,11,0,1,5,0,6,0,1,0,0,0,0,0,4,9,90004
F16,2169,AL,ART,ART,1012,02,53,51,2.07,14,1,2,3,2,1,9,1,0,1,3,10,0,0,0,0,0,0,0,2,4,92709
F16,2169,AL,ART,ART,1013,01,64,62,2.88,8,10,13,11,3,1,11,0,0,1,0,0,0,0,1,0,0,0,0,1,4,90973
F16,2169,AL,ART,ART,1013,02,78,77,3,15,15,16,10,4,1,9,1,0,0,0,1,0,0,0,0,0,0,0,1,5,90974
F16,2169,AL,ART,ART,1030,01,24,24,3.21,6,5,6,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,96585
F16,2169,AL,ART,ART,1030,02,24,22,3.28,6,5,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,96586
F16,2169,AL,ART,ART,1030,03,24,22,2.97,8,3,1,4,1,1,1,0,0,0,0,3,0,1,0,0,0,0,0,1,0,97076
F16,2169,AL,ART,ART,1090,01,29,29,3.79,15,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91284
F16,2169,AL,ART,ART,1090,03,23,23,3.73,8,12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93987
F16,2169,AL,ART,ART,1090,05,22,22,3.65,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97077
F16,2169,AL,ART,ART,1500,01,23,23,3.87,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91286
F16,2169,AL,ART,ART,1500,03,23,20,3.66,6,8,5,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,96284
F16,2169,AL,ART,ART,1520,01,23,23,3.22,2,6,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,91120
F16,2169,AL,ART,ART,1520,03,24,23,3.34,8,8,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,94030
F16,2169,AL,ART,ART,1520,05,25,25,3.57,1,16,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94032
F16,2169,AL,ART,ART,1520,07,25,25,3.08,2,8,11,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,94034
F16,2169,AL,ART,ART,1520,09,24,23,3.6,17,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,96290
F16,2169,AL,ART,ART,1520,11,24,22,2.6,6,2,1,2,3,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1,4,96292
F16,2169,AL,ART,ART,1520,15,24,23,2.61,8,1,3,1,1,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0,4,96873
F16,2169,AL,ART,ART,1550,01,26,25,3.4,8,0,8,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,93830
F16,2169,AL,ART,ART,1550,03,24,23,3.42,17,1,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,96286
F16,2169,AL,ART,ART,1590,01,25,24,2.65,0,0,2,6,10,4,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,91179
F16,2169,AL,ART,ART,1590,03,23,23,2.63,0,0,5,5,4,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,93964
F16,2169,AL,ART,ART,1590,05,26,25,3.1,6,6,4,1,3,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,96288
F16,2169,AL,ART,ART,1590,07,24,24,3.13,5,8,3,3,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,97011
F16,2169,AL,ART,ART,1800,01,25,25,3.77,21,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,91030
F16,2169,AL,ART,ART,1800,02,24,23,3.43,3,11,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,91031
F16,2169,AL,ART,ART,1800,03,23,23,3.5,5,8,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95280
