Term,Course Level,Course,UNIQUE ID,Course Units,Enrollment,Total Letter Grades,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F
Spring 2023,Graduate,ART 615,2116667873,3,10,10,10,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,MCOM 612,4273195614,3,10,10,4,4,0,2,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,MUS 432,182129560,1,10,10,10,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,MUS 432L,182129560,1,10,10,9,1,0,0,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,MUS 487,3956514031,1,10,10,8,1,1,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,SOM 686,697689758,3,10,10,7,1,0,2,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,DEAF 300,15853607,3,10,10,3,2,0,2,2,0,1,0,0,0,0,0
Spring 2023,Upper Division,DEAF 300,229895329,3,10,10,4,4,0,1,1,0,0,0,0,0,0,0
Spring 2023,Upper Division,DEAF 300,165841502,3,10,10,7,2,1,0,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,DEAF 490G,165841502,1,10,10,8,1,0,0,0,0,0,0,0,0,0,1
Spring 2023,Graduate,EPC 696MF,1158626122,3,10,10,10,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,SPED 566D,2229231904,3,10,10,10,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,ECE 410L,2665794672,1,10,10,6,0,0,4,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,MSE 412L,3199550035,1,10,10,10,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Lower Division,HSCI 281,2128203112,2,10,10,9,0,0,1,0,0,0,0,0,0,0,0
Spring 2023,Lower Division,KIN 139B,3002693197,1,10,10,9,1,0,0,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,NURS 428L,4098407982,2,10,10,10,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,PT 785I,1585676488,3,10,10,10,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,ENGL 651,3656209624,3,10,10,7,3,0,0,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,R S 325,3334218144,3,10,10,3,2,3,1,0,0,1,0,0,0,0,0
Spring 2023,Lower Division,CHEM 103L,2135883943,1,10,10,1,1,1,2,1,3,1,0,0,0,0,0
Spring 2023,Upper Division,CHEM 401L,1284203534,1,10,10,1,2,1,0,2,3,1,0,0,0,0,0
Spring 2023,Upper Division,CHEM 462L,739736615,1,10,10,0,1,5,2,1,1,0,0,0,0,0,0
Spring 2023,Upper Division,CHEM 464L,4003727030,1,10,10,2,0,1,2,1,1,0,1,0,0,1,1
Spring 2023,Upper Division,GEOL 490,4101035320,3,10,10,5,3,0,0,2,0,0,0,0,0,0,0
Spring 2023,Graduate,HIST 698D,2334963028,3,10,10,10,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,SWRK 523,3276281772,2,10,10,7,1,1,0,0,0,0,1,0,0,0,0
Spring 2023,Graduate,SWRK 523P,3276281772,1,10,10,7,1,1,0,0,0,0,1,0,0,0,0
Spring 2023,Graduate,SWRK 623,3041844364,2,10,10,4,3,2,1,0,0,0,0,0,0,0,0
Spring 2023,Graduate,SWRK 623P,3041844364,1,10,10,4,3,2,1,0,0,0,0,0,0,0,0
Spring 2023,Graduate,SOC 690,2895561512,3,10,10,4,1,2,3,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,URBS 490C,458444220,3,10,10,10,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,URBS 698,458444220,3,10,10,10,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,ATE 502,139042018,3,10,10,8,1,0,0,0,0,1,0,0,0,0,0
Summer 2023,Graduate,ELPS 750,614311874,3,10,10,10,0,0,0,0,0,0,0,0,0,0,0
Summer 2023,Upper Division,C E 315L,3958176629,1,10,10,10,0,0,0,0,0,0,0,0,0,0,0
Summer 2023,Upper Division,NURS 444L,3755296769,1.5,10,10,10,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,SOM 306,510447833,3,11,10,1,1,2,0,1,0,5,0,0,0,0,0
Spring 2023,Upper Division,DEAF 300,15853607,3,11,10,1,0,1,2,2,1,0,0,0,2,0,1
Spring 2023,Graduate,EPC 635,4171354755,3,11,10,9,0,0,1,0,0,0,0,0,0,0,0
Spring 2023,Graduate,EPC 663BL,3432293033,3,11,10,4,3,2,1,0,0,0,0,0,0,0,0
Spring 2023,Graduate,EPC 696MF,2344475638,3,11,10,10,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,ECE 425L,1343872112,1,11,10,4,0,0,0,0,2,3,0,0,0,0,1
Spring 2023,Upper Division,AAS 440,2571025238,3,11,10,8,2,0,0,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,CHEM 422L,4247624534,2,11,10,1,0,3,1,2,1,1,1,0,0,0,0
Spring 2023,Upper Division,SOC 424L,4237341028,1,11,10,0,0,0,1,0,3,1,0,0,0,0,5
Spring 2023,Upper Division,SOC 496ASM,456598555,3,11,10,4,2,1,0,0,0,1,1,0,0,0,1
Summer 2023,Upper Division,MSE 300,2421228385,3,11,10,0,1,1,2,0,0,4,1,0,0,0,1
Summer 2023,Lower Division,MATH 262,3436682006,3,11,10,2,2,1,0,1,2,1,0,0,1,0,0
Spring 2023,Upper Division,JOUR 445,1758663538,3,12,10,2,3,0,3,0,1,1,0,0,0,0,0
Spring 2023,Graduate,E ED 633,2862376821,3,12,10,6,1,0,3,0,0,0,0,0,0,0,0
Spring 2023,Graduate,ECE 582,2462984515,3,12,10,4,0,2,1,2,1,0,0,0,0,0,0
Spring 2023,Lower Division,CH S 113B,3151377791,3,12,10,0,0,0,2,2,1,0,1,0,0,0,4
Spring 2023,Lower Division,GEOL 102,1981101729,1,12,10,4,2,2,0,1,0,0,0,0,0,0,1
Spring 2023,Lower Division,MATH 255B,3200790840,3,12,10,4,1,0,1,0,0,2,1,0,0,0,1
Spring 2023,Lower Division,AFRS 113B,1454594742,3,12,10,2,1,0,0,1,2,1,3,0,0,0,0
Spring 2023,Graduate,GEOG 696,1406585221,3,12,10,8,2,0,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,HIST 698D,1108529835,3,12,10,9,1,0,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,GEOG 690B,1519111842,3,13,10,4,5,0,0,0,0,0,1,0,0,0,0
Spring 2023,Lower Division,ENGL 114B,1461070533,3,18,10,0,1,1,1,0,0,0,3,0,1,0,3
Spring 2023,Lower Division,CH S 115,2887325099,3,23,10,2,2,0,2,1,1,0,1,0,0,0,1
Spring 2023,Lower Division,QS 115,3925031917,3,25,10,2,2,1,2,1,0,1,0,0,1,0,0
Spring 2023,Upper Division,ART 402,2411037650,3,11,11,9,1,0,1,0,0,0,0,0,0,0,0
Spring 2023,Graduate,CTVA 500,1434602712,3,11,11,11,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,CTVA 510,984419059,3,11,11,10,0,0,1,0,0,0,0,0,0,0,0
Spring 2023,Graduate,CTVA 525,3262747472,3,11,11,9,2,0,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,CTVA 595F,722877709,3,11,11,11,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,CTVA 595G,1955613931,3,11,11,10,1,0,0,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,JOUR 498,2190814207,1,11,11,4,0,1,3,1,1,1,0,0,0,0,0
