Term,Course Level,Course,UNIQUE ID,Course Units,Enrollment,Total Letter Grades,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F
Spring 2023,Graduate,MUS 692B,2470538707,3,11,11,9,2,0,0,0,0,0,0,0,0,0,0
Spring 2023,Lower Division,ACCT 292BCS,2442218083,2,11,11,10,0,0,0,1,0,0,0,0,0,0,0
Spring 2023,Lower Division,ACCT 292CCS,2442218083,3,11,11,9,1,0,1,0,0,0,0,0,0,0,0
Spring 2023,Graduate,ELPS 755,614311874,3,11,11,11,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,EPC 663B,2173405438,3,11,11,10,1,0,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,EPC 663B,781225603,3,11,11,7,4,0,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,EPC 663BL,3432293033,3,11,11,5,4,2,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,EPC 696MF,3199163472,3,11,11,11,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,S ED 651,49754695,3,11,11,5,5,0,0,0,1,0,0,0,0,0,0
Spring 2023,Graduate,ECE 537,1743629028,3,11,11,2,4,0,2,1,0,2,0,0,0,0,0
Spring 2023,Lower Division,MSE 227L,3172429674,1,11,11,4,3,1,1,2,0,0,0,0,0,0,0
Spring 2023,Graduate,CD 720,3893013269,3,11,11,4,3,4,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,CD 742A,3674329217,3,11,11,5,2,3,1,0,0,0,0,0,0,0,0
Spring 2023,Graduate,CD 755,2326316129,3,11,11,7,1,2,1,0,0,0,0,0,0,0,0
Spring 2023,Graduate,CD 760,2905277321,3,11,11,11,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,CD 771,153622276,3,11,11,11,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,EOH 466B,2625836166,3,11,11,2,0,1,0,2,1,3,1,0,0,0,1
Spring 2023,Lower Division,FCS 201L,374165774,1,11,11,5,0,3,3,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,FCS 497,2326487904,3,11,11,5,1,1,4,0,0,0,0,0,0,0,0
Spring 2023,Graduate,FCS 682,3088428529,3,11,11,8,2,0,1,0,0,0,0,0,0,0,0
Spring 2023,Lower Division,HSCI 281,2128203112,2,11,11,9,0,0,2,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,KIN 445,1759161494,3,11,11,0,1,1,3,1,1,2,1,0,1,0,0
Spring 2023,Upper Division,KIN 446,1960394466,2,11,11,0,0,0,0,2,0,3,0,0,2,2,2
Spring 2023,Upper Division,KIN 446L,1997998934,1,11,11,0,1,1,1,0,2,0,2,0,0,1,3
Spring 2023,Upper Division,NURS 498L,2882927544,2,11,11,11,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,AAS 390,2931040783,2,11,11,11,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,AAS 390F,2931040783,1,11,11,11,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,PHIL 446,580379610,3,11,11,1,0,1,3,1,0,3,0,0,1,1,0
Spring 2023,Upper Division,BIOL 383L,3988827869,1,11,11,6,2,0,2,1,0,0,0,0,0,0,0
Spring 2023,Upper Division,BIOL 495C,1461382776,3,11,11,10,1,0,0,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,CHEM 334L,3111188857,1,11,11,1,2,5,0,0,1,0,0,0,0,0,2
Spring 2023,Upper Division,CHEM 334L,3111188857,1,11,11,3,3,0,0,2,2,0,0,1,0,0,0
Spring 2023,Upper Division,CHEM 422L,4247624534,2,11,11,3,3,1,1,2,1,0,0,0,0,0,0
Spring 2023,Upper Division,CHEM 464L,1868214771,1,11,11,2,2,0,1,2,1,0,0,0,2,0,1
Spring 2023,Upper Division,CHEM 495B,2651549351,2,11,11,8,2,0,1,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,PHYS 331,1884584249,3,11,11,6,3,0,0,0,0,0,0,0,0,0,2
Spring 2023,Upper Division,GEOG 404AC,3610784421,3,11,11,10,0,0,1,0,0,0,0,0,0,0,0
Spring 2023,Graduate,HIST 694,2928162196,3,11,11,11,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,PSY 499A,290066869,1,11,11,11,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,PSY 499C,290066869,3,11,11,11,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,PSY 655CC,4074362237,3,11,11,11,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,SWRK 523,1854644377,2,11,11,9,2,0,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,SWRK 523P,1854644377,1,11,11,9,2,0,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,SWRK 698,277896868,3,11,11,9,0,0,2,0,0,0,0,0,0,0,0
Spring 2023,Graduate,SOC 545,148149549,3,11,11,2,3,2,1,2,0,1,0,0,0,0,0
Summer 2023,Graduate,CD 740,4141292467,3,11,11,8,3,0,0,0,0,0,0,0,0,0,0
Summer 2023,Graduate,CD 772,2326316129,3,11,11,11,0,0,0,0,0,0,0,0,0,0,0
Summer 2023,Graduate,AT 650,2286796685,2,11,11,8,3,0,0,0,0,0,0,0,0,0,0
Summer 2023,Graduate,AT 650L,2286796685,1,11,11,11,0,0,0,0,0,0,0,0,0,0,0
Summer 2023,Graduate,AT 660,226811013,2,11,11,3,5,1,2,0,0,0,0,0,0,0,0
Summer 2023,Upper Division,NURS 307L,4089362267,1,11,11,11,0,0,0,0,0,0,0,0,0,0,0
Summer 2023,Upper Division,NURS 427L,2641323235,1,11,11,10,0,1,0,0,0,0,0,0,0,0,0
Summer 2023,Lower Division,CHEM 102L,4068462672,1,11,11,4,3,0,2,0,1,0,1,0,0,0,0
Spring 2023,Lower Division,MUS 212,3048950952,1,12,11,0,0,2,0,1,3,2,2,0,0,0,1
Spring 2023,Lower Division,MUS 212L,3048950952,1,12,11,0,0,2,0,1,3,2,2,0,0,0,1
Spring 2023,Upper Division,MUS 411,3048950952,2,12,11,6,0,4,0,1,0,0,0,0,0,0,0
Spring 2023,Upper Division,MUS 474,3177642227,2,12,11,9,0,1,1,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,MUS 474L,3177642227,1,12,11,9,0,1,1,0,0,0,0,0,0,0,0
Spring 2023,Graduate,MUS 682,1201800417,1,12,11,11,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,ENT 410,4229315308,3,12,11,6,2,1,2,0,0,0,0,0,0,0,0
Spring 2023,Graduate,EPC 659SPB,1337816118,3,12,11,11,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,FCS 494,2185936115,2,12,11,9,0,1,0,0,0,1,0,0,0,0,0
Spring 2023,Upper Division,FCS 494I,2185936115,1,12,11,9,0,1,0,0,0,1,0,0,0,0,0
Spring 2023,Upper Division,HSCI 437,958824000,3,12,11,4,0,3,2,0,1,1,0,0,0,0,0
Spring 2023,Upper Division,NURS 498L,2211622075,2,12,11,11,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Lower Division,LING 113B,2315366223,3,12,11,2,1,1,0,2,0,2,2,0,1,0,0
Spring 2023,Lower Division,BIOL 107L,154307147,1,12,11,3,0,1,1,2,4,0,0,0,0,0,0
Spring 2023,Graduate,ANTH 696B,784842200,2,12,11,8,2,1,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,GEOG 550F,3610784421,3,12,11,7,0,1,1,0,0,2,0,0,0,0,0
Spring 2023,Graduate,MPA 650,2192304097,3,12,11,3,5,0,2,1,0,0,0,0,0,0,0
Summer 2023,Upper Division,C E 438,2913493677,3,12,11,0,1,5,2,2,1,0,0,0,0,0,0
Summer 2023,Lower Division,ECE 240,1743629028,3,12,11,3,0,2,0,0,1,3,2,0,0,0,0
Summer 2023,Graduate,AT 610,2902513010,2,12,11,9,0,1,1,0,0,0,0,0,0,0,0
Summer 2023,Graduate,AT 610L,2902513010,1,12,11,11,0,0,0,0,0,0,0,0,0,0,0
Summer 2023,Graduate,AT 670,1388110854,2,12,11,11,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Lower Division,ECE 240L,3086598711,1,13,11,3,3,3,1,1,0,0,0,0,0,0,0
Spring 2023,Upper Division,ECE 320L,511029863,1,13,11,3,0,4,0,1,0,1,2,0,0,0,0
Spring 2023,Lower Division,PHYS 227,206312582,4,13,11,3,2,1,3,2,0,0,0,0,0,0,0
Spring 2023,Lower Division,PHYS 227L,1574193949,1,13,11,5,1,4,0,1,0,0,0,0,0,0,0
Spring 2023,Graduate,PSY 524,1585432389,3,13,11,8,0,0,2,0,0,1,0,0,0,0,0
Spring 2023,Graduate,PSY 524L,1585432389,1,13,11,8,0,0,2,0,0,1,0,0,0,0,0
Spring 2023,Lower Division,CHEM 102D,3169333853,1,14,11,1,1,0,4,1,0,3,0,0,0,0,1
Spring 2023,Graduate,KIN 698C,2055905526,3,24,11,11,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,PSY 698C,1864468386,3,24,11,11,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,ART 330,2041003571,3,12,12,6,3,1,1,1,0,0,0,0,0,0,0
Spring 2023,Upper Division,ART 435,2246563124,3,12,12,11,0,0,1,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,CTVA 410,1635167877,3,12,12,7,1,4,0,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,JOUR 498,4047972296,1,12,12,4,1,1,2,0,1,3,0,0,0,0,0
Spring 2023,Graduate,MCOM 630,13090380,3,12,12,6,2,0,2,1,0,0,0,1,0,0,0
Spring 2023,Upper Division,MUS 330M,4266206007,1,12,12,3,4,5,0,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,MUS 485,3956514031,1,12,12,12,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,TH 473,421299525,2,12,12,10,1,0,0,0,0,1,0,0,0,0,0
Spring 2023,Upper Division,TH 473L,421299525,1,12,12,11,0,0,0,0,0,1,0,0,0,0,0
Spring 2023,Lower Division,ACCT 292BCS,2442218083,2,12,12,12,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Support/Other,ACCT 697TX,445906490,1,12,12,10,1,0,0,1,0,0,0,0,0,0,0
Spring 2023,Lower Division,DEAF 280,2116828106,4,12,12,10,2,0,0,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,DEAF 482,393198920,3,12,12,9,1,0,0,2,0,0,0,0,0,0,0
Spring 2023,Upper Division,DEAF 491F,393198920,1,12,12,12,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,EPC 658,2537507597,3,12,12,10,0,2,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,EPC 658L,2537507597,1,12,12,10,0,2,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,EPC 696,4064793077,3,12,12,12,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,SPED 538,1214343685,3,12,12,11,1,0,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,SPED 545,1326643621,3,12,12,3,8,0,1,0,0,0,0,0,0,0,0
Spring 2023,Graduate,SPED 561D,3958855143,3,12,12,4,1,1,2,1,0,0,2,0,1,0,0
Spring 2023,Graduate,SPED 565,3958855143,3,12,12,4,1,1,2,1,0,0,2,0,1,0,0
Spring 2023,Graduate,SPED 683,4266384711,3,12,12,11,1,0,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,COMP 542,2339985417,3,12,12,6,0,2,1,0,0,2,0,0,0,0,1
Spring 2023,Upper Division,ECE 320L,4153955719,1,12,12,6,3,0,0,3,0,0,0,0,0,0,0
Spring 2023,Graduate,ECE 546,1551220131,3,12,12,2,1,2,1,2,0,2,0,0,1,0,1
Spring 2023,Upper Division,M E 491,1648915212,1,12,12,12,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,CD 762,1339664406,3,12,12,10,2,0,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,CD 767,4141292467,3,12,12,10,2,0,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,EOH 555,2660444933,3,12,12,5,5,1,0,1,0,0,0,0,0,0,0
Spring 2023,Upper Division,FCS 360L,2850968245,1,12,12,5,1,1,3,0,0,0,1,0,0,0,1
Spring 2023,Upper Division,FCS 413,3629156597,2,12,12,3,3,1,1,2,0,0,0,0,0,0,2
Spring 2023,Upper Division,FCS 413L,3629156597,1,12,12,3,3,1,1,2,0,0,0,0,0,0,2
Spring 2023,Upper Division,FCS 420,2451265774,3,12,12,9,0,0,2,0,0,0,0,0,1,0,0
Spring 2023,Lower Division,HSCI 284,2657644735,3,12,12,9,0,0,0,0,0,3,0,0,0,0,0
Spring 2023,Lower Division,KIN 148,3073065205,1,12,12,10,0,1,0,1,0,0,0,0,0,0,0
Spring 2023,Lower Division,KIN 179A,489163078,1,12,12,8,3,0,0,0,0,1,0,0,0,0,0
Spring 2023,Upper Division,KIN 336L,1811704074,1,12,12,9,2,0,0,0,0,1,0,0,0,0,0
Spring 2023,Upper Division,KIN 417L,4002502320,1,12,12,4,2,2,2,0,0,0,1,0,0,0,1
Spring 2023,Upper Division,KIN 446L,1997998934,1,12,12,1,0,1,1,2,1,1,2,0,0,1,2
Spring 2023,Graduate,AT 521,261568920,3,12,12,3,2,3,2,1,0,0,0,0,0,0,1
Spring 2023,Graduate,AT 521L,261568920,1,12,12,9,0,0,1,1,0,0,1,0,0,0,0
Spring 2023,Graduate,AT 531,2286796685,3,12,12,9,0,2,1,0,0,0,0,0,0,0,0
Spring 2023,Graduate,AT 531L,2286796685,1,12,12,12,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,AT 550,2286796685,3,12,12,8,2,1,0,0,0,0,1,0,0,0,0
Spring 2023,Graduate,AT 550L,2286796685,1,12,12,12,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,AT 562,2902513010,1,12,12,12,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,NURS 498L,3098972057,2,12,12,12,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,CH S 506,3501664318,3,12,12,6,1,0,5,0,0,0,0,0,0,0,0
Spring 2023,Lower Division,ENGL 114A,941687914,3,12,12,1,2,0,0,1,1,0,2,0,0,0,5
Spring 2023,Upper Division,R S 365,2344290475,3,12,12,2,0,2,2,0,0,1,0,0,0,1,4
Spring 2023,Upper Division,BIOL 467L,2974124822,2,12,12,4,4,1,0,0,0,1,0,1,1,0,0
Spring 2023,Upper Division,CHEM 352L,2161473478,1,12,12,4,3,0,3,0,0,1,0,0,1,0,0
Spring 2023,Upper Division,CHEM 422L,2651549351,2,12,12,2,0,2,1,2,1,0,1,0,0,1,2
Spring 2023,Upper Division,CHEM 462L,1868214771,1,12,12,2,1,1,2,1,3,0,0,0,1,0,1
Spring 2023,Graduate,CHEM 567,3398975537,3,12,12,1,0,2,4,1,1,3,0,0,0,0,0
Spring 2023,Upper Division,MATH 440B,3040069757,3,12,12,5,2,1,1,1,0,1,0,0,1,0,0
Spring 2023,Lower Division,PHYS 220BL,3805897856,1,12,12,6,2,1,2,0,1,0,0,0,0,0,0
Spring 2023,Upper Division,AFRS 498,2713145018,3,12,12,12,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,GEOG 690C,1492452528,3,12,12,7,2,2,1,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,HIST 301,1179718435,3,12,12,4,1,2,0,1,0,2,0,0,0,0,2
Spring 2023,Graduate,HIST 563,1179718435,3,12,12,3,7,2,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,SWRK 523,1381782228,2,12,12,11,0,1,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,SWRK 523,3128411256,2,12,12,9,2,0,1,0,0,0,0,0,0,0,0
Spring 2023,Graduate,SWRK 523P,1381782228,1,12,12,11,0,1,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,SWRK 523P,3128411256,1,12,12,9,2,0,1,0,0,0,0,0,0,0,0
Spring 2023,Graduate,SWRK 602,32520775,3,12,12,11,0,1,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,SWRK 623,2640918447,2,12,12,12,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,SWRK 623P,2640918447,1,12,12,12,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,SOC 670,3256247272,3,12,12,4,4,3,0,0,0,1,0,0,0,0,0
Spring 2023,Graduate,MPA 644,2014906913,3,12,12,9,2,0,0,1,0,0,0,0,0,0,0
Summer 2023,Upper Division,MKT 449,3500218448,3,12,12,0,1,0,1,6,1,1,1,0,0,0,1
Summer 2023,Upper Division,C E 315,3958176629,2,12,12,0,0,0,1,1,3,1,4,0,0,0,2
Summer 2023,Lower Division,ECE 240L,1551220131,1,12,12,2,0,2,1,1,0,6,0,0,0,0,0
Summer 2023,Upper Division,ECE 340L,511029863,1,12,12,6,2,1,0,0,0,0,0,0,2,0,1
Summer 2023,Graduate,CD 750,4141292467,3,12,12,3,4,0,4,1,0,0,0,0,0,0,0
Summer 2023,Graduate,CD 797,2326316129,3,12,12,12,0,0,0,0,0,0,0,0,0,0,0
Summer 2023,Upper Division,KIN 311,2032165544,2,12,12,1,1,3,5,0,1,0,1,0,0,0,0
Summer 2023,Upper Division,KIN 311L,2032165544,1,12,12,9,2,0,1,0,0,0,0,0,0,0,0
Summer 2023,Graduate,AT 500,2286796685,3,12,12,12,0,0,0,0,0,0,0,0,0,0,0
Summer 2023,Graduate,AT 501,261568920,3,12,12,6,4,1,1,0,0,0,0,0,0,0,0
Summer 2023,Graduate,AT 501L,261568920,1,12,12,10,0,2,0,0,0,0,0,0,0,0,0
Summer 2023,Graduate,AT 502,2286796685,2,12,12,10,2,0,0,0,0,0,0,0,0,0,0
Summer 2023,Graduate,AT 510,1759161494,2,12,12,3,1,1,4,1,2,0,0,0,0,0,0
Summer 2023,Graduate,AT 510L,1759161494,1,12,12,10,2,0,0,0,0,0,0,0,0,0,0
Summer 2023,Graduate,AT 560,2902513010,1,12,12,12,0,0,0,0,0,0,0,0,0,0,0
Summer 2023,Upper Division,NURS 427L,672074151,1,12,12,4,1,2,3,1,1,0,0,0,0,0,0
Summer 2023,Upper Division,NURS 427L,4098407982,1,12,12,12,0,0,0,0,0,0,0,0,0,0,0
Summer 2023,Upper Division,NURS 430,4222943882,2,12,12,12,0,0,0,0,0,0,0,0,0,0,0
Summer 2023,Lower Division,BIOL 282,159993970,1,12,12,11,0,0,1,0,0,0,0,0,0,0,0
Summer 2023,Upper Division,CHEM 334L,1961131151,1,12,12,5,0,0,4,0,1,1,0,0,0,0,1
Summer 2023,Upper Division,POLS 449DC,2327042854,3,12,12,12,0,0,0,0,0,0,0,0,0,0,0
Winter 2023,Upper Division,GEOG 330,218098808,3,12,12,4,2,2,0,0,0,1,0,0,1,1,1
Spring 2023,Lower Division,MUS 210B,3420692429,1,13,12,1,1,3,1,1,3,0,0,0,0,0,2
Spring 2023,Upper Division,MUS 420A,2452819991,3,13,12,4,4,2,2,0,0,0,0,0,0,0,0
Spring 2023,Graduate,MUS 678B,3448752146,1,13,12,12,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Graduate,MUS 678BL,3448752146,1,13,12,12,0,0,0,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,IS 457,1249551063,3,13,12,7,1,1,1,1,0,1,0,0,0,0,0
Spring 2023,Upper Division,DEAF 412,916137286,3,13,12,0,0,2,5,4,0,0,0,0,1,0,0
Spring 2023,Upper Division,ECE 320L,2944953922,1,13,12,4,4,1,3,0,0,0,0,0,0,0,0
Spring 2023,Upper Division,ECE 455,2086482815,3,13,12,2,0,0,3,0,2,2,1,0,2,0,0
Spring 2023,Graduate,MSE 604,2421228385,3,13,12,1,0,1,0,0,8,0,0,0,2,0,0
Spring 2023,Lower Division,RTM 151F,676783336,2,13,12,11,1,0,0,0,0,0,0,0,0,0,0
Spring 2023,Lower Division,ENGL 250FE,1646027142,3,13,12,7,2,0,1,1,0,1,0,0,0,0,0
