,Semester,Course Level,Course,Instructor Unique ID,Units,A,A+,A-,B,B+,B-,C,C+,C-,D,D+,D-,F
0,Fall 2003,Post Baccalaureate,EDMS  522,9734,3,17,0,9,0,0,1,0,0,0,0,0,0,0
1,Fall 2003,Post Baccalaureate,EDMS  522,423662,3,16,0,3,3,2,0,0,0,0,0,0,0,0
2,Fall 2003,Post Baccalaureate,EDMS  523,9302,4,9,0,0,0,1,0,0,0,0,0,0,0,0
3,Fall 2003,Post Baccalaureate,EDMS  523,455918,4,21,1,7,1,5,0,0,1,0,0,0,0,0
4,Fall 2003,Post Baccalaureate,EDMS  526,8150,3,23,0,2,3,0,0,0,0,0,0,0,0,0
5,Fall 2003,Post Baccalaureate,EDMS  526,14198,3,16,0,5,0,2,2,0,0,0,0,0,0,0
6,Fall 2003,Post Baccalaureate,EDMS  527,3542,4,28,0,2,1,3,1,0,0,1,0,0,0,0
7,Fall 2003,Post Baccalaureate,EDMS  529,5558,4,10,0,8,0,0,0,0,0,0,0,0,0,0
8,Fall 2003,Post Baccalaureate,EDMS  529,6350,4,3,0,8,0,1,1,0,0,0,0,0,0,0
9,Fall 2003,Post Baccalaureate,EDMS  529,427118,4,10,0,2,1,0,0,0,0,0,0,0,0,0
10,Fall 2003,Post Baccalaureate,EDUC  510,9014,3,25,0,13,4,0,4,0,0,0,0,0,0,0
11,Fall 2003,Post Baccalaureate,EDUC  510,424598,3,16,0,7,0,5,7,0,1,0,0,1,1,0
12,Fall 2003,Post Baccalaureate,EDUC  512,2966,3,23,0,5,2,2,1,2,1,1,0,0,0,0
13,Fall 2003,Post Baccalaureate,EDUC  512,15350,3,6,0,9,5,3,3,5,4,1,1,0,0,3
14,Fall 2003,Post Baccalaureate,EDUC  512,466286,3,23,0,5,2,2,1,2,1,1,0,0,0,0
15,Fall 2003,Post Baccalaureate,EDUC  520,6350,3,4,0,8,3,0,0,0,3,0,0,1,0,1
16,Fall 2003,Post Baccalaureate,EDUC  520,8366,3,4,0,18,0,3,0,0,0,0,0,0,0,0
17,Fall 2003,Post Baccalaureate,EDUC  520,9518,3,4,0,0,5,2,1,0,0,0,1,0,0,0
18,Fall 2003,Post Baccalaureate,SPED  541,7358,3,11,0,0,2,0,0,0,0,0,0,0,0,0
19,Fall 2003,Post Baccalaureate,SPED  546,7790,3,8,1,0,2,0,0,0,0,0,0,0,0,0
20,Fall 2003,Undergraduate,ACCT  210,9230,3,0,0,1,2,1,5,5,1,2,3,0,2,11
21,Fall 2003,Undergraduate,ACCT  210,419558,3,5,0,0,4,0,3,2,3,3,0,1,3,4
22,Fall 2003,Undergraduate,ACCT  300,419558,3,1,0,0,1,0,2,2,4,6,1,0,1,2
