"Subject Catalog Nbr
",Title,"Instructors

","Term
","Term Code
",Cross- listed,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP,S,U,I,W,IP,-,Total
ARBC 1,Arabic: First Year,Abdelkader Berrahmoun,2019 Fall,2198,N,,17,,,,,,,,,,,,4,2,1,1,,,,,25
ART 10E,3D Foundation,Yolande Harris,2019 Fall,2198,N,3,85,43,13,12,4,3,2,2,,1,,1,9,1,,,,2,,,181
ART 20G,Intro Print/Draw,Jimin Lee,2019 Fall,2198,N,,11,8,6,,1,,,,,,,,,,,,,1,,,27
ART 20H,Intro Sculpt/Public,Jennifer Parker,2019 Fall,2198,N,,12,3,6,3,,,,1,,,,,,,,,,,,,25
ART 20I,Intro Photography,Karolina Karlic,2019 Fall,2198,N,4,4,8,4,,1,,2,,,,,,,,,,,,,,23
ART 20J,Intro Draw/Paint,Timothy Craighead,2019 Fall,2198,N,1,5,5,2,5,2,3,,,,,,,1,,,,,1,,,25
ART 20L,Intro to Drawing,Grant Whipple,2019 Fall,2198,N,,10,24,14,5,2,2,3,1,,,,4,8,1,,,,2,,,76
ART 80D,Fundamentals of Photo,Kathleen Perry,2019 Fall,2198,N,,18,8,36,24,9,10,2,,,,,3,17,1,,,,7,,,135
ART 106C,StopMotionAnimation,Elliot Anderson,2019 Fall,2198,N,2,10,3,1,,1,1,,,,,,,2,,,,,,,,20
ART 130,Interm/Adv Painting,Melissa Gwyn,2019 Fall,2198,N,,13,5,3,5,1,,2,,,,,,1,,,,,,,,30
ART 133,Abstract Painting,Timothy Craighead,2019 Fall,2198,N,1,8,6,4,4,1,,,,,,,,,,,,,1,,,25
ART 150,Darkroom Practices,Karolina Karlic,2019 Fall,2198,N,8,9,5,2,,,,,,,,,,,,,,,1,,,25
ART 156,Project Devlop Photo,Kathleen Perry,2019 Fall,2198,N,,7,3,4,2,,,,,,,,,,,,,,,,,16
ART 162A,Intaglio I,Jimin Lee,2019 Fall,2198,N,,16,7,,1,,,,,,,,,,,,,,,,,24
ART 163A,Lithography I,Enrique Martinez Leal,2019 Fall,2198,N,3,3,2,5,1,1,,,,,,,,,,,,,,,,15
ART 175,Taking Art to Streets,Kyle McKinley,2019 Fall,2198,N,3,5,2,9,5,,1,,,,,,,,,,,,,,1,26
ART 184,3D ArtDesign:LaserCNC,Kristen Gillette,2019 Fall,2198,N,1,9,4,5,,1,,,,,,,1,2,,,,,,,,23
ART 188,Int/Adv Sclpt/Fndry,Sean Monaghan,2019 Fall,2198,N,,10,3,4,,2,,,,,,,,,,,,,,,,19
ART 194,Forms and Ideas,Laurie Palmer,2019 Fall,2198,N,,9,8,6,2,1,,,,,,,,1,,,,,,,,27
ARTG 80G,Vis Com Interaction,Marcelo Viana Neto,2019 Fall,2198,N,8,50,59,33,11,17,11,5,2,1,2,,6,2,1,,,,,,,208
ARTG 80H,Crit His Digital Games,micha cardenas,2019 Fall,2198,N,17,46,45,31,17,11,4,5,1,,1,,6,2,1,,,,5,,,192
ARTG 80I,Foundations of Play,Elizabeth Swensen,2019 Fall,2198,N,3,47,18,3,,,1,3,2,,1,2,1,3,,,,,,,,84
ARTG 118,Draw/Paint Game Des,Eduard Gregor,2019 Fall,2198,N,11,8,1,3,1,,,,,,,,1,,,,,,,,,25
ARTG 134,Spectacular Play,A.M. Darke,2019 Fall,2198,N,2,7,8,,4,,1,2,,,1,,,1,,,,,,,,26
ARTG 170,Game Design I,Robin Hunicke,2019 Fall,2198,N,68,10,1,2,,1,,1,,,,,2,,,,,,,,,85
ARTG 179,Game Design Practicum,Tad Leckman,2019 Fall,2198,Y,,4,4,,1,1,1,,,,,,,,,1,,,,,,12
ARTG 179,Game Design Practicum,Joel Dreskin,2019 Fall,2198,Y,,12,,1,2,,,1,,,,,,,,,,,1,,,17
ARTG 179,Game Design Practicum,Tad Leckman,2019 Fall,2198,Y,,5,2,2,2,1,,1,,,,,,1,,,,,,,,14
CMPM 179,Game Design Practicum,Tad Leckman,2019 Fall,2198,Y,2,8,7,,1,6,,1,,,,,,,,1,,,,,,26
CMPM 179,Game Design Practicum,Joel Dreskin,2019 Fall,2198,Y,,17,,6,5,,1,,,1,,,2,,,,,,,,,32
CMPM 179,Game Design Practicum,Tad Leckman,2019 Fall,2198,Y,1,7,2,3,8,1,,2,,,,,1,,,,,,,,,25
ASTR 1,The Cosmos,Puragra Guha Thakurta,2019 Fall,2198,N,14,19,24,28,33,30,15,21,,,,1,5,30,1,1,,,4,,,226
ASTR 2,Overview Universe,Michael Bolte,2019 Fall,2198,N,3,15,14,11,29,4,9,16,,,1,,4,85,12,,,,7,,,210
ASTR 111,Order of Magnitude,Enrico Ramirez-Ruiz,2019 Fall,2198,N,2,8,2,3,2,3,,,,,,,,,,,,,1,,,21
ASTR 118,Planetary Systems,Natalie Batalha,2019 Fall,2198,N,,4,8,4,3,5,2,,2,1,2,,1,1,1,,,,1,,,35
ASTR 119,Intro Sci Computing,Asher Wasserman,2019 Fall,2198,N,,22,5,2,3,2,,1,,,,,,1,,,,,,,,36
PHYS 135A,Astrophys Adv Lab,George Brown,2019 Fall,2198,Y,1,5,2,1,3,,,,,,,,,,,,,,,,,12
ASTR 204,Astrophysics II,Ruth Murray-Clay,2019 Fall,2198,N,,13,,,1,,,,,,,,,,,4,,1,,,,19
ASTR 292,Seminar,Puragra Guha Thakurta,2019 Fall,2198,N,9,,,,,,,,,,,,,,,25,,,,,,34
BIOC 100A,Biochemistry,Michael Stone,2019 Fall,2198,N,12,20,17,13,17,34,32,28,,,20,,9,1,1,,,,,,,204
BIOE 20B,Developmt & Physiol,Katharine Cary,2019 Fall,2198,N,12,45,33,29,30,20,11,19,,2,1,2,2,,1,,,,2,,,209
BIOE 20C,Ecology & Evolution,Baldo Marinovic,2019 Fall,2198,N,6,10,26,19,37,48,69,42,1,,8,,7,6,6,,,,11,,,296
BIOE 20C,Ecology & Evolution,Baldo Marinovic,2019 Fall,2198,N,2,4,4,4,14,11,19,10,,,1,,1,3,2,,,,1,,,76
BIOE 75,Sci Diving Cert,Stephen Clabuesch,2019 Fall,2198,N,,,,,,,,,,,,,,12,,,,,,,,12
BIOE 82,Intro Field Res/Con,Sean Reilly,2019 Fall,2198,N,3,17,3,,1,,,,,,,,,,,,,,1,,,25
BIOE 82,Intro Field Res/Con,Kristen Heady,2019 Fall,2198,N,,19,,,2,,,,,,,,1,,,,,,1,,,23
BIOE 82,Intro Field Res/Con,Abraham Borker,2019 Fall,2198,N,3,6,11,1,,,,1,,,,,,1,,,,,,,,23
BIOE 107,Ecology,Erika Zavaleta,2019 Fall,2198,N,,10,11,22,17,9,10,15,1,1,2,,5,2,2,,,,1,,,108
BIOE 109,Evolution,Suzanne Alonzo,2019 Fall,2198,N,3,21,16,18,19,15,13,4,1,1,,1,1,,,,,,,,,113
BIOE 112,Ornithology,Bruce Lyon,2019 Fall,2198,N,2,7,7,2,4,2,3,1,,,,,,,,,,,1,,,29
BIOE 112L,Ornithology Field,Bruce Lyon,2019 Fall,2198,N,12,7,1,1,3,1,3,,,,,,,,,,,,1,,,29
BIOE 124,Mammalogy,Alan Shabel,2019 Fall,2198,N,1,6,5,6,3,1,1,1,,,,,,2,,,,,,,,26
BIOE 124L,Mammalogy Lab,Alan Shabel,2019 Fall,2198,N,1,5,5,5,4,3,1,,1,,,,,1,,,,,,,,26
BIOE 127,Ichthyology,Giacomo Bernardi,2019 Fall,2198,N,6,12,24,15,19,12,7,4,1,,1,,,,,,,,,,,101
BIOE 127L,Ichthyology Lab,Giacomo Bernardi,2019 Fall,2198,N,1,6,4,7,3,3,2,1,,,,,,,,,,,,,,27
BIOE 127L,Ichthyology Lab,Giacomo Bernardi,2019 Fall,2198,N,,5,5,2,5,3,1,2,,,,,,,,,,,,,,23
BIOE 127L,Ichthyology Lab,Giacomo Bernardi,2019 Fall,2198,N,1,6,14,4,2,1,,,,,,,,,,,,,,,,28
BIOE 127L,Ichthyology Lab,Giacomo Bernardi,2019 Fall,2198,N,1,4,6,8,4,,,,,,,,,,,,,,,,,23
BIOE 135,Plant Physiology,Jarmila Pittermann,2019 Fall,2198,N,2,18,5,5,16,4,1,,,,,,,,,,,,,,,51
BIOE 135L,Plant Physiology Lab,Jarmila Pittermann,2019 Fall,2198,N,,12,5,4,3,1,,,,,,,,,,,,,,,,25
BIOE 135L,Plant Physiology Lab,Jarmila Pittermann,2019 Fall,2198,N,,13,5,3,5,,,,,,,,,,,,,,,,,26
BIOE 136,Enviro Physiology,Robin Dunkin,2019 Fall,2198,N,3,20,21,15,13,4,,1,,,,,,,,,,,,,,77
BIOE 137,Molecular Eco,Rachel Meyer,2019 Fall,2198,N,3,9,2,1,2,1,,,,,,,,,,,,,,,,18
BIOE 137L,Molecular Eco Lab,Rachel Meyer,2019 Fall,2198,N,3,7,5,2,1,,,,,,,,,,,,,,,,,18
BIOE 140,Behavioral Ecology,Barry Sinervo,2019 Fall,2198,N,11,13,7,18,7,17,,4,,,,,2,,1,,,,,,,80
BIOE 145,Plant Ecology,Ingrid Parker,2019 Fall,2198,Y,,10,3,5,5,4,1,3,,,,,1,,,,,,1,,,33
BIOE 155,Freshwater Ecology,Eric Palkovacs,2019 Fall,2198,N,2,4,5,10,12,1,6,14,3,,2,,,,,,,,,,,59
BIOE 161,Kelp Forest Ecology,Mark Carr; Peter Raimondi,2019 Fall,2198,N,2,3,5,4,7,,,,,,,,1,,,,,,,,,22
BIOE 161L,Kelp Forest Eco Lab,Mark Carr; Peter Raimondi,2019 Fall,2198,N,2,3,5,4,7,,,,,,,,1,,,,,,,,,22
BIOE 165,Marine Conserv Bio,Donald Croll,2019 Fall,2198,N,4,6,13,10,12,5,2,2,,1,,,,,,,,,,,,55
BIOE 200A,Scientific Skills,Mark Carr,2019 Fall,2198,N,,,,,,,,,,,,,,,,14,,,,,,14
BIOE 200B,Adv Organismal Bio,Auston Kilpatrick; Suzanne Alonzo,2019 Fall,2198,N,,,,,,,,,,,,,,,,14,,,,,,14
BIOE 294,"Ecol, Evol Bio Sem",Kathleen Kay,2019 Fall,2198,N,,,,,,,,,,,,,,,,63,,,,,,63
BIOL 15,Research Reports,Melissa Jurica,2019 Fall,2198,N,,21,4,,,,,,,,,,,2,,,,,,,,27
BIOL 20A,Cell & Molecular Bi,John Tamkun,2019 Fall,2198,N,1,28,8,21,54,13,67,72,27,2,28,2,24,2,10,,,,8,,,367
BIOL 20L,Experimental Lab,James Shanks,2019 Fall,2198,N,12,39,32,15,5,4,,1,,,2,,2,,2,,,,2,,,116
BIOL 100,Biochemistry,Jeremy Lee,2019 Fall,2198,N,4,16,19,18,27,21,40,52,,,32,,15,,1,,,,6,,,251
BIOL 101L,Molecular Bio Lab,James Shanks,2019 Fall,2198,N,,7,14,15,14,9,5,12,,,1,,2,,,,,,1,,,80
BIOL 102J,Toxic RNA Lab I,Jeremy Sanford,2019 Fall,2198,N,2,22,,1,,,,,,,,,,1,,,,,,,,26
BIOL 105,Genetics,Rohinton Kamakaka,2019 Fall,2198,N,8,35,35,29,40,38,59,60,,,30,,41,,1,,,,19,,,395
BIOL 109L,Yeast Molecular Gen,Giulia Gurun,2019 Fall,2198,N,,4,2,2,2,2,1,1,,,,,1,,,,,,,,,15
BIOL 110,Cell Biology,Michael Rexach,2019 Fall,2198,N,21,16,21,24,34,35,21,36,6,3,5,1,2,,2,,,,5,,,232
BIOL 117,Neglected Diseases,William Sullivan,2019 Fall,2198,N,4,48,9,,25,,,4,,,,,,,1,,,,1,,,92
BIOL 125,Intro to Neurosci,Bin Chen; David Feldheim,2019 Fall,2198,N,,32,5,11,30,9,7,39,,,2,,,1,,,,,4,,,140
BIOL 130,Human Physiology,Giulia Gurun,2019 Fall,2198,N,2,4,6,5,9,17,6,9,,8,4,,1,2,3,,,,2,,,78
BIOL 130L,Human Physiology Lab,Giulia Gurun,2019 Fall,2198,N,,3,4,8,12,8,3,12,,1,2,1,2,1,,,,,3,,,60
BIOL 186L,Undergrad Rsrch MCD,Yi Zuo,2019 Fall,2198,Y,2,15,1,2,2,,,,,,,,,,,,,,,,,22
BIOL 188,A Life in Medicine,Scott Vahradian,2019 Fall,2198,N,3,44,,,,,,,,,,,,,,,,,,,,47
BIOL 200A,Critical Analysis,Euiseok Kim; William Saxton,2019 Fall,2198,N,,3,,1,11,1,,,,,,,,,,,,,,,,16
BIOL 288,Pedagogy in STEM,Melissa Jurica,2019 Fall,2198,N,,,,,,,,,,,,,,,,15,,,,,,15
BIOL 291,Mol Cell Devel Bio,Euiseok Kim; Upasna Sharma,2019 Fall,2198,N,,1,,,,,,,,,,,,,,83,,,,,,84
BIOL 292,MCD Seminar,Euiseok Kim; Upasna Sharma,2019 Fall,2198,N,,1,,,,,,,,,,,,,,85,,,,,,86
BIOL 297B,Independent Study,Rohinton Kamakaka,2019 Fall,2198,N,,,,,,,,,,,,,,,,13,,,,,,13
BME 5,Intro to Biotech,Wendy Rothwell,2019 Fall,2198,N,1,18,4,6,17,5,9,4,,,,,1,8,1,,,,2,,,76
BME 18,Sci Principles Life,David Haussler,2019 Fall,2198,N,1,9,6,4,17,4,8,6,,,1,,1,9,6,,,,4,,,76
BME 80G,Bioethics 21st Cent,Sandra Dreisbach,2019 Fall,2198,Y,1,31,37,22,15,11,4,6,,,1,,2,5,1,2,,,1,,,139
BME 110,Comp Bio Tools,Todd Lowe,2019 Fall,2198,N,3,11,9,11,15,6,2,5,,,3,,,4,1,1,,,3,,,74
BME 122H,Env Virology,David Bernick,2019 Fall,2198,N,1,18,,,,,,,,,,,,4,,,,,,,,23
BME 129A,Project Des/Imp BME I,Mark Akeson,2019 Fall,2198,N,,3,4,7,7,1,,2,,,,,,,,,,,3,,,27
BME 130,Genomes,Richard Edward Green,2019 Fall,2198,N,1,11,2,2,9,5,1,11,,,,,,3,,,,,,,,45
BME 132,Evol Genomics,Russell Corbett-Detig,2019 Fall,2198,Y,1,9,2,,,,,,,,,,1,4,,,,,,,,17
BME 140,Bioinstrumentation,Nader Pourmand,2019 Fall,2198,N,5,5,6,,5,3,,,,,,,,,,1,,,2,,,27
BME 185,Tech Writing Biomol,Joy Hagen,2019 Fall,2198,N,,5,5,2,1,2,2,,,,,,4,,,,,,1,,,22
BME 205,BioinfoModel/Algorthm,David Bernick,2019 Fall,2198,N,,20,2,2,2,1,,3,,,,,1,,,6,,,,,,37
BME 280B,Bioinform/Bioeng Sem,Camilla Forsberg,2019 Fall,2198,N,,25,,,,,,,,,,,1,8,,27,,,1,,,62
BME 296,Research Bioinfo,Richard Edward Green,2019 Fall,2198,N,,9,,,,,,,,,,,,,,5,,,,,,14
CHEM 1A,General Chemistry,Scott Oliver,2019 Fall,2198,N,101,67,61,42,40,42,36,22,17,,13,,7,14,11,,,,5,,,478
CHEM 1B,General Chemistry,Jin Zhang,2019 Fall,2198,N,46,47,47,43,52,35,21,20,12,,4,,9,1,7,,,,10,,,354
CHEM 1C,General Chemistry,Peter Weiss,2019 Fall,2198,N,3,12,18,26,30,38,25,35,,,9,,5,2,1,,,,3,,,207
CHEM 1M,Gen Chem Lab,Randa Roland,2019 Fall,2198,N,,129,1,8,18,,,2,,,,,,,,,,,1,,,159
CHEM 1N,Gen Chem Lab,Randa Roland,2019 Fall,2198,N,,186,6,8,15,1,3,3,,,,,,,,,,,3,,,225
CHEM 8A,Organic Chemistry,Caitlin Binder,2019 Fall,2198,N,7,97,8,32,125,5,21,59,16,,7,,4,,3,,,,7,,,391
CHEM 8L,Organic Chem Lab,Caitlin Binder,2019 Fall,2198,N,15,142,99,26,47,8,3,10,2,,1,,1,,2,,,,6,,,362
CHEM 122,Instrumental Analys,Pradip Mascharak,2019 Fall,2198,N,,4,1,1,4,7,1,1,,,,,,,,,,,2,,,21
CHEM 143,Org Chem Structure,Bakthan Singaram,2019 Fall,2198,N,2,6,9,5,4,5,,,,,,,4,,1,,,,1,,,37
CHEM 146A,Adv Lab Organic,Caitlin Binder,2019 Fall,2198,N,1,11,1,,1,2,,,,,,,,,,,,,,,,16
CHEM 163A,Quantum Mech & Spec,Yuan Ping,2019 Fall,2198,N,5,8,18,23,19,7,7,6,3,6,,,,,,1,,,,,,103
CHEM 200A,Adv Biophys Methods,Seth Rubin,2019 Fall,2198,N,,6,3,2,,,,,,,,,,,1,5,,,,,,17
CHEM 291,Chemistry Seminar,Timothy Johnstone,2019 Fall,2198,N,,,,,,,,,,,,,,,,49,,,,,,49
CHEM 296,Teaching Chemistry,Randa Roland,2019 Fall,2198,N,,,,,,,,,,,,,,,,12,,,,,,12
CHIN 1,Chinese: First Year,Jing Wu,2019 Fall,2198,N,3,8,6,,,,,,,,,,1,3,,,,,,,,21
CHIN 1,Chinese: First Year,Jing Wu,2019 Fall,2198,N,5,13,3,,,,,,,,,,,1,,,,,1,,,23
CHIN 1,Chinese: First Year,Jing Wu,2019 Fall,2198,N,,15,2,,,,,,,,,,,1,1,,,,,,,19
CHIN 4,Chinese: Second Year,Ting-Ting Wu,2019 Fall,2198,N,2,12,4,2,,,,1,,,,,,2,,,,,,,,23
CHIN 103,Advanced Chinese,Ting-Ting Wu,2019 Fall,2198,N,3,12,2,3,2,3,1,1,,,,,,,,1,,,,,,28
CLNI 1,ALE:Intl/Global Persp,Lawrence Quill,2019 Fall,2198,N,3,3,8,4,5,2,1,,,,,,1,,,,,,1,,,28
CLNI 1,ALE:Intl/Global Persp,Lawrence Quill,2019 Fall,2198,N,2,9,6,9,,4,,,,,,,,,,,,,,,,30
CLNI 1,ALE:Intl/Global Persp,Toby Loeffler,2019 Fall,2198,N,,,8,8,7,,2,,,,,,,1,4,,,,,,,30
CLNI 1,ALE:Intl/Global Persp,Toby Loeffler,2019 Fall,2198,N,,3,11,5,6,,,,,,,,,5,,,,,,,,30
CLNI 1,ALE:Intl/Global Persp,Gabriela Gavande,2019 Fall,2198,N,,5,10,7,7,,1,,,,,,,,,,,,,,,30
CLNI 1,ALE:Intl/Global Persp,David Hammerbeck,2019 Fall,2198,N,4,11,6,1,1,1,,1,1,,,,,3,,,,,,,,29
CLNI 1,ALE:Intl/Global Persp,Pamela Rittelmeyer,2019 Fall,2198,N,2,10,6,1,2,2,,1,,,,,,4,1,,,,,,,29
CLNI 1,ALE:Intl/Global Persp,David Lau,2019 Fall,2198,N,2,8,14,4,1,2,,,,,,,,,,,,,,,,31
CLNI 1,ALE:Intl/Global Persp,Thomas Serres,2019 Fall,2198,N,,2,15,5,6,2,,,,,,,,,,,,,,,,30
CLNI 1,ALE:Intl/Global Persp,Thomas Serres,2019 Fall,2198,N,,2,16,8,3,,,,,,,,,1,,,,,,,,30
CLNI 1,ALE:Intl/Global Persp,Emily Murai,2019 Fall,2198,N,1,9,9,1,3,2,1,,1,,,,,1,,,,,1,,,29
CLNI 1,ALE:Intl/Global Persp,Ryan Lee,2019 Fall,2198,N,1,6,11,3,2,1,1,2,,,,,1,2,,,,,,,,30
CLNI 1,ALE:Intl/Global Persp,Ryan Lee,2019 Fall,2198,N,2,4,10,5,4,,2,2,,,,,,1,,,,,,,,30
CLNI 90,Intercultural Study,Hailey Lopez,2019 Fall,2198,N,,9,2,1,,,2,,,,,,,,,,,,,,,14
CLTE 1,ALE: Social Justice,Steven Coulter,2019 Fall,2198,N,6,5,3,2,9,,,1,,,,,1,3,,,,,,,,30
CLTE 1,ALE: Social Justice,Ariel Robello,2019 Fall,2198,N,4,26,1,,,,,,,,,,,,,,,,,,,31
CLTE 1,ALE: Social Justice,Ariel Robello,2019 Fall,2198,N,1,24,1,,,,,,,,,,,2,,,,,,,,28
CLTE 1,ALE: Social Justice,Robert Majzler,2019 Fall,2198,N,4,15,8,,2,,,,,,,,,1,,,,,,,,30
CLTE 1,ALE: Social Justice,Steven Coulter,2019 Fall,2198,N,4,8,2,6,5,,,,,,,,,3,1,,,,,,,29
CLTE 1,ALE: Social Justice,Robert Majzler,2019 Fall,2198,N,1,16,9,2,1,,,,1,,,,,,,,,,,,,30
CLTE 1,ALE: Social Justice,Chris Gray,2019 Fall,2198,N,4,11,6,4,2,1,,1,,,,,,1,,,,,,,,30
CLTE 1,ALE: Social Justice,Angela Birts,2019 Fall,2198,N,,12,10,2,5,,,,,,,,,1,,,,,,,,30
CLTE 1,ALE: Social Justice,Joshua Brahinsky,2019 Fall,2198,N,,16,9,2,1,,,,,,,,1,,,,,,,,,29
CLTE 1,ALE: Social Justice,Joshua Brahinsky,2019 Fall,2198,N,,5,13,3,4,1,,2,,,,,,1,,,,,,,,29
CLTE 1,ALE: Social Justice,Margaret Wilson,2019 Fall,2198,N,1,6,4,6,4,4,,1,1,,1,,,,,,,,,,,28
CLTE 1,ALE: Social Justice,Rachel Goodman,2019 Fall,2198,N,4,6,9,4,1,1,,,,,,,,5,1,,,,,,,31
CLTE 1,ALE: Social Justice,Rachel Goodman,2019 Fall,2198,N,3,5,4,5,3,2,,1,,,,,,4,1,,,,,,,28
CLTE 95,Nonviolent Comm,Caren Camblin,2019 Fall,2198,N,,25,,,,,,,,,,,,1,,,,,,,,26
CLTE 120,PAC Planning,Wendy Baxter,2019 Fall,2198,N,,12,,,,,,,,,,,,,,,,,,,,12
CMMU 10,Intr To Cmmu Actvsm,Leslie Lopez,2019 Fall,2198,N,2,41,24,7,14,2,3,2,3,,3,,1,2,1,,,,1,,,106
CMMU 105A,Field Study,Mary Pudup,2019 Fall,2198,N,1,17,12,2,8,2,,,,,,,,,,,,,,,,42
CMMU 105B,Field Study,Mary Pudup,2019 Fall,2198,N,1,23,12,3,2,1,,,,,,,,,,,,,,,,42
CMMU 105C,Field Study,Mary Pudup,2019 Fall,2198,N,10,17,9,5,,,,1,,,,,,,,,,,,,,42
CMMU 132,Amer Cities Soc Chg,John Elrick,2019 Fall,2198,N,2,27,3,2,,,,,,,,,,,,,,,,,,34
CMMU 160,Public Health,Andrea Steiner,2019 Fall,2198,N,10,15,6,9,6,4,1,1,,,,,1,2,,,,,,,,55
CMMU 186,FoodAgri/Soc,Antonio Roman-Alcala,2019 Fall,2198,N,2,2,2,5,7,1,,1,,,,,,1,,,,,,,,21
CMPM 25,3D Modeling,Christopher Yonge,2019 Fall,2198,N,4,46,28,34,16,5,5,2,,,2,,7,38,7,,,,4,,,198
CMPM 121,Game Technologies,Mason Remaley,2019 Fall,2198,N,25,6,2,,,,,1,,,,,2,2,,,,,1,,,39
CMPM 147,Generative Design,Adam Smith,2019 Fall,2198,N,6,20,15,1,8,,3,6,,,,,4,5,,,,,4,,,72
CMPM 164,Game Engines,Angus Forbes,2019 Fall,2198,N,2,8,2,,,,,,,,,,,,1,,,,,,,13
CMPM 164L,Game Engines Lab,Angus Forbes,2019 Fall,2198,N,,10,,,,1,,,,,,,,,1,,,,,,,12
CMPM 170,Game Design I,Nathan Altice,2019 Fall,2198,N,98,10,1,1,2,,,,,,,,,,,,,,,,,112
CMPM 176,Game Systems,Nathan Altice,2019 Fall,2198,N,6,37,67,20,11,4,2,2,,,1,,1,1,,,,,,,,152
CMPM 198F,Ind Study/Research,David Lee,2019 Fall,2198,N,,12,1,,,,,,,,,,,1,,,,,,,,14
CMPM 201,Intro Comp Media,Noah Wardrip-Fruin,2019 Fall,2198,N,,6,,,1,,,,,,,,,,,12,,,,,,19
CMPM 235,User Evaluation,Stephen Whittaker,2019 Fall,2198,N,,,2,2,,,1,,,,,,,,,12,,,,,,17
CMPM 244,AI in Games,Michael Mateas,2019 Fall,2198,N,,4,,,,,,,,,,,1,,,12,,,,,,17
CMPM 280C,CM Seminar,Sri Kurniawan,2019 Fall,2198,N,,4,,,2,,,,,,,,,,,24,,,,,,30
COWL 1,ALE:ImaginingJustice,Virginia Troyer,2019 Fall,2198,N,,6,7,8,2,,1,1,1,,,,,2,,,,,,,,28
