"Subject Catalog Nbr
",Title,"Instructors

","Term
","Term Code
",Cross- listed,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP,S,U,I,W,IP,-,Total
AM 3,Precalculus,Sara Nasab,2019 Fall,2198,N,15,21,13,10,4,3,,,1,,6,,,2,1,,,,,,,76
AM 10,Math Methods I,Daniele Venturi,2019 Fall,2198,N,14,15,20,31,29,36,20,12,4,,,,11,1,2,,,,4,,,199
AM 11A,Math Methd for Econ,Bruno Mendes,2019 Fall,2198,Y,1,2,16,18,10,10,,9,,,19,,7,,2,,,,2,,,96
AM 11B,Math Methds Econ II,Jonathan Katznelson,2019 Fall,2198,Y,6,17,10,9,25,11,6,55,11,,11,,12,3,13,,,,3,,,192
AM 114,Intro Dynam Systems,Daniele Venturi,2019 Fall,2198,Y,2,3,3,7,8,9,7,2,3,,,,2,2,2,,,,2,,,52
AM 129,Foundtns Sci Comput,Dongwook Lee,2019 Fall,2198,N,26,13,4,,2,,6,1,,,1,,,,,,,,,,,53
AM 214,Applied Dynamic Sys,Daniele Venturi,2019 Fall,2198,Y,3,4,1,2,2,2,,,,,,,1,,,4,,,,,,19
ANTH 1,Intro Biolog Anth,Emily Schach,2019 Fall,2198,N,25,127,,26,95,,11,27,,,2,,1,11,3,,,,2,,,330
ANTH 97,Lab Safety Practice,Viktoria Oelze,2019 Fall,2198,N,1,,3,,,,,,,,,,,9,1,,,,1,,,15
ANTH 100,History Biol Anthro,Kalina Kassadjikova,2019 Fall,2198,N,,2,3,2,5,4,1,3,,,,,,1,1,,,,1,,,23
ANTH 110A,Contemporary Issues,Alejandra Kramer,2019 Fall,2198,N,11,21,3,9,,1,1,,,,,,2,3,,,,,,,,51
ANTH 110Q,Black Queer Culture,Savannah Shange-Binion,2019 Fall,2198,Y,,5,7,8,1,3,,,,,,,,7,1,,,,,,,32
CRES 110Q,Black Queer Culture,Savannah Shange-Binion,2019 Fall,2198,Y,2,1,6,4,2,,,,,,,,,4,1,,,,,,,20
FMST 110Q,Black Queer Culture,Savannah Shange-Binion,2019 Fall,2198,Y,1,2,3,3,1,1,2,1,1,,,,2,1,,,,,,,,18
ANTH 110U,Piracy,Nidhi Mahajan,2019 Fall,2198,N,13,11,11,14,3,4,,3,3,,,,,6,,,,,1,,,69
ANTH 130A,Anth of Africa,Nidhi Mahajan,2019 Fall,2198,N,1,6,9,13,7,6,,,,,,,1,3,,,,,2,,,48
ANTH 130L,Latin Amer Ethnogra,Guillermo Delgado-P,2019 Fall,2198,N,,24,16,,,,,,,,,,1,4,1,,,,,,,46
ANTH 140,Enviro-Med Intersect,Jerry Zee,2019 Fall,2198,Y,2,18,11,5,8,1,1,,,,,,2,4,,,,,1,,,53
CRES 140,Enviro-Med Intersect,Jerry Zee,2019 Fall,2198,Y,1,12,2,1,1,,,1,,,,,2,1,1,,,,,,,22
ANTH 147,Anthropocene,Anna Tsing,2019 Fall,2198,N,,19,9,12,9,,,2,,,,,,3,,1,,,1,,,56
ANTH 150,Communicating Anth,Megan Moodie,2019 Fall,2198,N,1,2,8,4,3,2,2,3,,,,,1,,2,,,,1,,,29
ANTH 175,African Archaeology,James Monroe,2019 Fall,2198,Y,1,,5,2,3,4,8,11,6,2,1,1,8,10,5,,,,4,,,71
ANTH 176A,No American Archlgy,Danielle Dadiego,2019 Fall,2198,N,17,3,10,5,,2,,1,,1,,,,1,,,,,,,,40
ANTH 194X,Wom/Poli:3d Wor Per,Alejandra Kramer,2019 Fall,2198,N,2,8,2,2,2,,,,,,,,,,,,,,,,,16
ANTH 196W,Weather & Exposure,Jerry Zee,2019 Fall,2198,N,,8,2,2,4,,,1,,,,,2,,,,,,,,,19
APLX 80,Intro Applied Ling,Donald Miller,2019 Fall,2198,N,5,19,13,5,3,4,2,2,,,1,1,4,5,,,,,1,,,65
APLX 116,Discourse Analysis,Bryan Donaldson,2019 Fall,2198,N,1,4,1,3,6,2,,1,,,,,,5,2,,,,,,,25
