,Term,Class Level,Course Subject and Number,Random Instructor ID,Component Unit,A,A-,B,B+,B-,C,C+,C-,D,D+,F
0,Fall 2003,Lower Division,HIST 1A,-2,3.0,0,0,18,0,14,0,0,0,0,0,0
1,Fall 2005,Graduate Division,BADM 610,30611,3.0,27,0,0,0,0,0,0,0,0,0,0
2,Fall 2005,Graduate Division,BADM 638,30128,3.0,17,17,0,10,0,0,0,0,0,0,0
3,Fall 2005,Graduate Division,CMSD 620,27504,3.0,12,0,0,0,0,0,0,0,0,0,0
4,Fall 2005,Graduate Division,CMSD 632,28877,2.0,0,0,14,0,0,0,0,0,0,0,0
5,Fall 2005,Graduate Division,CMSD 652,36902,3.0,10,0,0,0,0,0,0,0,0,0,0
6,Fall 2005,Graduate Division,CMSD 675,30777,1.0,12,0,0,0,0,0,0,0,0,0,0
7,Fall 2005,Graduate Division,CSCI 630,28534,3.0,0,10,0,0,0,0,0,0,0,0,0
8,Fall 2005,Graduate Division,CSCI 650,28250,3.0,13,0,0,0,0,0,0,0,0,0,0
9,Fall 2005,Graduate Division,CSCI 698,34998,2.0,0,11,0,0,0,0,0,0,0,0,0
10,Fall 2005,Graduate Division,EDAD 613,26601,3.0,13,0,0,0,0,0,0,0,0,0,0
11,Fall 2005,Graduate Division,EDMA 610,28891,3.0,29,0,0,0,0,0,0,0,0,0,0
12,Fall 2005,Graduate Division,EDMA 611,28737,3.0,10,0,0,0,0,0,0,0,0,0,0
13,Fall 2005,Graduate Division,EDSL 610,30700,3.0,11,0,0,0,0,0,0,0,0,0,0
14,Fall 2005,Graduate Division,ENGL 601,27235,3.0,0,11,0,0,0,0,0,0,0,0,0
15,Fall 2005,Graduate Division,ENGL 652,32316,3.0,11,0,0,0,0,0,0,0,0,0,0
16,Fall 2005,Graduate Division,HIST 620,28861,3.0,11,0,0,0,0,0,0,0,0,0,0
17,Fall 2005,Graduate Division,KINE 600,28393,3.0,19,0,0,0,0,0,0,0,0,0,0
18,Fall 2005,Graduate Division,KINE 680,28393,3.0,10,0,0,0,0,0,0,0,0,0,0
19,Fall 2005,Graduate Division,NURS 313,29149,4.0,0,0,10,14,0,0,0,0,0,0,0
20,Fall 2005,Graduate Division,PSYC 600,31640,3.0,20,0,0,0,0,0,0,0,0,0,0
21,Fall 2005,Graduate Division,PSYC 663,36899,3.0,10,0,0,0,0,0,0,0,0,0,0
22,Fall 2005,Graduate Division,PSYC 665,27516,3.0,12,0,0,0,0,0,0,0,0,0,0
23,Fall 2005,Graduate Division,PSYC 672,31118,3.0,12,0,0,0,0,0,0,0,0,0,0
24,Fall 2005,Graduate Division,SCMS 607,40531,3.0,11,0,0,0,0,0,0,0,0,0,0
25,Fall 2005,Graduate Division,SWRK 601,27904,3.0,26,0,0,0,0,0,0,0,0,0,0
26,Fall 2005,Graduate Division,SWRK 605,30047,3.0,17,0,0,0,0,0,0,0,0,0,0
27,Fall 2005,Graduate Division,SWRK 617,27280,3.0,12,11,0,0,0,0,0,0,0,0,0
28,Fall 2005,Graduate Division,SWRK 643,29421,3.0,34,0,0,0,0,0,0,0,0,0,0
29,Fall 2005,Graduate Division,SWRK 648,29421,4.0,12,0,0,0,0,0,0,0,0,0,0
30,Fall 2005,Graduate Division,SWRK 653,27280,3.0,18,0,0,0,0,0,0,0,0,0,0
31,Fall 2005,Graduate Division,SWRK 653,27904,3.0,15,0,0,0,0,0,0,0,0,0,0
32,Fall 2005,Graduate Division,SWRK 685,29421,3.0,10,0,0,0,0,0,0,0,0,0,0
33,Fall 2005,Lower Division,ABUS 101,30894,3.0,0,0,0,0,10,0,0,0,0,0,0
34,Fall 2005,Lower Division,ACCT 201,26648,3.0,0,0,0,0,0,12,0,0,0,0,0
35,Fall 2005,Lower Division,ACCT 201,28827,3.0,0,0,31,0,0,43,0,0,0,0,0
36,Fall 2005,Lower Division,ACCT 201,28889,3.0,0,10,11,0,0,18,13,0,18,0,12
37,Fall 2005,Lower Division,ACCT 201,28932,3.0,0,0,20,0,0,17,0,0,0,0,0
38,Fall 2005,Lower Division,ACCT 201,36738,3.0,0,0,11,0,0,14,0,0,12,0,0
39,Fall 2005,Lower Division,ACCT 201,39246,3.0,0,0,16,0,0,11,0,0,13,0,12
