,Term,Class Level,Course Subject and Number,Random Instructor ID,Component Unit,A,A-,B,B+,B-,C,C+,C-,D,D+,F
40,Fall 2005,Lower Division,ACCT 201,40550,3.0,0,0,0,0,0,0,0,0,0,0,23
41,Fall 2005,Lower Division,ACCT 202,26649,3.0,0,0,0,0,0,13,0,0,0,0,0
42,Fall 2005,Lower Division,ACCT 202,28255,3.0,0,0,18,0,0,20,0,0,10,0,0
43,Fall 2005,Lower Division,ACCT 202,31399,3.0,0,0,0,0,10,0,0,0,0,0,16
44,Fall 2005,Lower Division,ACCT 202,40550,3.0,0,0,0,0,0,15,0,0,0,0,16
45,Fall 2005,Lower Division,ACCT 202,40989,3.0,0,0,0,0,0,26,0,0,0,0,0
46,Fall 2005,Lower Division,AFAM 170,30554,3.0,0,0,0,0,16,0,0,0,0,0,0
47,Fall 2005,Lower Division,AFAM 296,28192,3.0,16,27,0,13,0,0,0,0,0,0,0
48,Fall 2005,Lower Division,AGRI 201,30224,3.0,11,0,0,0,0,0,0,0,0,0,0
49,Fall 2005,Lower Division,AGRI 210,30224,2.0,18,0,0,0,0,0,0,0,0,0,0
50,Fall 2005,Lower Division,ANSC 101,28885,2.0,19,0,27,13,0,17,0,0,0,0,0
51,Fall 2005,Lower Division,ANSC 110,26895,1.0,17,0,0,0,0,0,0,0,0,0,0
52,Fall 2005,Lower Division,ANSC 230,39154,2.0,12,0,0,0,0,0,0,0,0,0,0
53,Fall 2005,Lower Division,ANSC 272,39154,2.0,11,0,0,0,0,0,0,0,0,0,0
54,Fall 2005,Lower Division,ANTH 111,32768,2.0,15,0,27,0,11,27,13,0,0,0,0
55,Fall 2005,Lower Division,ANTH 113,26402,3.0,0,11,15,10,16,40,51,0,0,0,0
56,Fall 2005,Lower Division,ANTH 113,27829,3.0,0,0,10,0,0,0,0,0,0,0,0
57,Fall 2005,Lower Division,ANTH 113H,30246,3.0,15,0,0,0,0,0,0,0,0,0,0
58,Fall 2005,Lower Division,ANTH 116,26448,3.0,0,0,0,0,0,12,0,0,0,0,0
59,Fall 2005,Lower Division,ANTH 140,27957,3.0,0,0,14,0,0,0,0,0,0,0,0
60,Fall 2005,Lower Division,ANTH 140,28976,3.0,16,0,19,0,0,80,0,12,17,0,16
61,Fall 2005,Lower Division,ANTH 140,31349,3.0,0,0,10,10,12,0,0,0,0,0,0
62,Fall 2005,Lower Division,ANTH 261,27425,3.0,10,0,0,0,0,0,0,0,0,0,0
63,Fall 2005,Lower Division,APCG 110,27899,1.0,24,24,19,16,10,17,0,10,0,0,14
64,Fall 2005,Lower Division,APCG 112,30521,2.0,0,0,11,0,0,0,0,0,0,0,0
65,Fall 2005,Lower Division,APCG 117,30197,2.0,0,0,0,0,0,0,0,0,0,0,10
66,Fall 2005,Lower Division,ARTS 100,27307,3.0,33,12,12,17,0,0,10,0,0,0,13
67,Fall 2005,Lower Division,ARTS 101,32262,3.0,0,0,18,0,18,11,0,21,13,0,12
68,Fall 2005,Lower Division,ARTS 101,34045,3.0,0,0,0,0,0,11,0,16,0,0,0
69,Fall 2005,Lower Division,ARTS 102,26522,3.0,0,0,0,0,0,0,0,0,0,0,12
70,Fall 2005,Lower Division,ARTS 102,36900,3.0,17,0,22,11,11,23,11,0,0,0,12
71,Fall 2005,Lower Division,ARTS 103,27898,3.0,0,0,0,0,11,0,0,0,0,0,0
72,Fall 2005,Lower Division,ARTS 103,37739,3.0,0,12,0,13,0,0,0,0,0,0,0
73,Fall 2005,Lower Division,ARTS 122,26390,3.0,0,0,0,0,11,0,0,0,0,0,0
74,Fall 2005,Lower Division,ARTS 126,26475,3.0,10,0,0,0,0,0,0,0,0,0,0
75,Fall 2005,Lower Division,ARTS 227,26475,3.0,12,0,0,0,0,0,0,0,0,0,0
76,Fall 2005,Lower Division,ARTS 230,30610,3.0,16,0,0,0,0,0,0,0,0,0,0
77,Fall 2005,Lower Division,ARTS 240,30259,3.0,0,11,0,0,0,0,0,0,0,0,0
78,Fall 2005,Lower Division,ARTS 250,31527,3.0,11,0,0,0,0,0,0,0,0,0,0
79,Fall 2005,Lower Division,ARTS 260,28957,3.0,0,13,0,0,0,0,0,0,0,0,0
80,Fall 2005,Lower Division,BADM 101,26822,3.0,12,0,50,0,0,22,0,0,0,0,0
81,Fall 2005,Lower Division,BADM 101,28666,3.0,0,0,13,0,0,16,0,0,0,0,0
82,Fall 2005,Lower Division,BADM 101,29361,3.0,0,0,24,0,14,16,12,0,0,0,0
83,Fall 2005,Lower Division,BADM 101,35209,3.0,10,11,25,0,13,12,0,0,0,0,0
84,Fall 2005,Lower Division,BADM 101,36199,3.0,0,11,0,0,0,0,0,0,0,0,0
85,Fall 2005,Lower Division,BADM 103,28334,3.0,0,0,0,0,0,15,0,0,0,0,10
86,Fall 2005,Lower Division,BIOL 101,28228,2.0,22,0,25,21,0,13,24,0,16,0,0
87,Fall 2005,Lower Division,BIOL 101,28913,2.0,16,0,25,0,0,29,17,15,27,0,0
88,Fall 2005,Lower Division,BIOL 101,29436,2.0,15,10,19,14,20,20,18,13,12,0,0
89,Fall 2005,Lower Division,BIOL 103,28228,3.0,18,13,0,0,14,31,33,17,23,0,20
90,Fall 2005,Lower Division,BIOL 104,30034,3.0,45,17,34,35,27,28,45,20,0,14,10
91,Fall 2005,Lower Division,BIOL 151,28948,3.0,21,0,27,0,0,19,0,0,10,0,25
92,Fall 2005,Lower Division,BIOL 152,28907,3.0,0,0,11,0,0,0,0,0,0,0,0
93,Fall 2005,Lower Division,BIOL 210,29147,2.0,0,0,13,0,0,11,0,0,0,0,0
94,Fall 2005,Lower Division,BIOL 211,28188,3.0,0,0,24,11,15,13,17,18,13,0,0
95,Fall 2005,Lower Division,BLMC 270,33153,3.0,13,0,0,0,0,0,0,0,0,0,0
96,Fall 2005,Lower Division,CDES 101,28813,3.0,0,0,20,12,12,15,10,0,0,0,11
97,Fall 2005,Lower Division,CDES 102,30174,3.0,26,17,11,13,0,15,10,0,0,0,0
98,Fall 2005,Lower Division,CDES 103,27332,3.0,15,0,0,0,0,0,0,0,0,0,0
99,Fall 2005,Lower Division,CDES 141,28842,3.0,0,0,14,0,0,0,0,0,0,0,0
100,Fall 2005,Lower Division,CDES 206,27878,2.0,0,0,0,0,0,10,0,0,0,0,0
101,Fall 2005,Lower Division,CDES 214,28805,2.0,0,0,13,11,0,0,0,0,0,0,0
102,Fall 2005,Lower Division,CDES 216,39257,2.0,0,0,0,15,0,0,0,0,0,0,0
103,Fall 2005,Lower Division,CDES 222,30364,2.0,13,0,10,0,0,0,0,0,0,0,0
104,Fall 2005,Lower Division,CDES 230,31509,1.0,19,0,0,0,0,12,0,0,0,0,0
105,Fall 2005,Lower Division,CDES 241,28842,3.0,0,0,10,0,0,0,0,0,0,0,0
106,Fall 2005,Lower Division,CDES 261,28208,3.0,0,0,13,0,0,0,0,0,0,0,0
107,Fall 2005,Lower Division,CHEM 100,39233,2.0,0,0,15,0,0,16,0,0,0,0,0
108,Fall 2005,Lower Division,CHEM 107,39233,3.0,0,0,38,0,0,58,0,0,0,0,0
109,Fall 2005,Lower Division,CHEM 108,36326,3.0,28,0,53,28,0,25,19,0,0,0,0
110,Fall 2005,Lower Division,CHEM 111,31019,3.0,10,0,0,0,13,12,13,22,11,0,25
111,Fall 2005,Lower Division,CHEM 111,33414,3.0,0,0,19,11,14,24,15,0,10,0,13
112,Fall 2005,Lower Division,CHEM 112,40996,3.0,0,0,15,0,0,38,0,0,0,0,0
113,Fall 2005,Lower Division,CHEM 270,26599,3.0,0,0,0,0,0,11,0,0,0,0,0
114,Fall 2005,Lower Division,CHLD 250,27727,3.0,0,0,15,0,0,0,0,0,0,0,0
115,Fall 2005,Lower Division,CHLD 251,26954,1.0,16,16,15,0,0,0,0,0,0,0,0
116,Fall 2005,Lower Division,CHLD 252,27727,3.0,0,0,18,0,0,0,0,0,0,0,0
117,Fall 2005,Lower Division,CHLD 252,29586,3.0,22,0,17,0,0,0,0,0,0,0,0
118,Fall 2005,Lower Division,CHLD 252,32396,3.0,0,0,16,0,0,0,0,0,0,0,0
119,Fall 2005,Lower Division,CHLD 255,26954,3.0,0,10,0,14,10,0,0,0,0,0,0
120,Fall 2005,Lower Division,CIVL 130,29103,2.0,0,0,0,10,11,23,0,0,0,0,0
121,Fall 2005,Lower Division,CIVL 198,29103,1.0,19,0,0,0,0,0,0,0,0,0,0
122,Fall 2005,Lower Division,CIVL 211,28488,2.0,0,0,0,10,0,0,0,0,0,0,0
123,Fall 2005,Lower Division,CMGT 100,31587,2.0,40,0,32,19,0,17,0,0,0,0,0
124,Fall 2005,Lower Division,CMGT 110,38781,2.0,47,25,16,17,0,0,0,0,0,0,0
125,Fall 2005,Lower Division,CMGT 135,36929,3.0,0,0,14,0,0,22,13,0,10,0,0
126,Fall 2005,Lower Division,CMGT 210,28807,2.0,41,23,0,16,0,0,0,0,0,0,0
127,Fall 2005,Lower Division,CMGT 235,27331,3.0,0,0,0,0,10,16,13,0,0,0,0
128,Fall 2005,Lower Division,CMSD 220,31918,3.0,10,0,0,0,0,0,0,0,0,0,0
129,Fall 2005,Lower Division,CMSD 290,36902,2.0,14,0,0,0,0,0,0,0,0,0,0
130,Fall 2005,Lower Division,CMST 131,32799,2.0,0,12,19,17,0,0,0,0,0,0,0
131,Fall 2005,Lower Division,CMST 131,33360,2.0,0,10,23,0,0,0,0,0,0,0,0
132,Fall 2005,Lower Division,CMST 131,33693,2.0,0,16,14,16,10,0,0,0,0,0,0
133,Fall 2005,Lower Division,CMST 131,34141,2.0,0,0,12,11,13,0,0,0,0,0,0
134,Fall 2005,Lower Division,CMST 131,39006,2.0,0,0,34,12,0,0,0,0,0,0,0
135,Fall 2005,Lower Division,CMST 131,39593,2.0,0,0,17,0,13,0,0,0,0,0,0
136,Fall 2005,Lower Division,CMST 131H,28467,3.0,11,0,0,0,0,0,0,0,0,0,0
137,Fall 2005,Lower Division,CMST 132,27264,3.0,0,13,0,13,0,0,0,0,0,0,0
138,Fall 2005,Lower Division,CMST 132,27658,3.0,0,0,0,0,15,0,0,0,0,0,0
139,Fall 2005,Lower Division,CMST 132,27954,3.0,0,0,0,0,10,0,0,0,0,0,0
140,Fall 2005,Lower Division,CMST 132,28467,3.0,0,0,0,0,10,0,12,0,0,0,0
141,Fall 2005,Lower Division,CMST 132,28469,3.0,0,0,26,0,13,0,0,0,0,0,0
142,Fall 2005,Lower Division,CMST 132,28580,3.0,0,26,0,28,0,0,0,0,0,0,0
143,Fall 2005,Lower Division,CMST 132,30802,3.0,0,13,16,14,11,0,0,0,0,0,0
144,Fall 2005,Lower Division,CMST 132,37428,3.0,0,0,25,13,27,10,17,0,0,0,0
145,Fall 2005,Lower Division,CMST 233,28580,3.0,16,0,0,0,0,0,0,0,0,0,0
146,Fall 2005,Lower Division,CMST 233,30234,3.0,11,14,0,0,0,0,0,0,0,0,0
147,Fall 2005,Lower Division,CSCI 101,31591,2.0,28,0,0,0,0,0,0,0,0,0,0
148,Fall 2005,Lower Division,CSCI 111,28250,2.0,0,0,0,0,0,0,0,0,0,0,21
149,Fall 2005,Lower Division,CSCI 111,29182,2.0,0,0,0,0,0,0,0,0,0,0,16
150,Fall 2005,Lower Division,ECON 101,28959,3.0,0,0,0,0,0,15,0,0,0,0,0
151,Fall 2005,Lower Division,ECON 102,26503,3.0,0,0,0,0,19,22,18,14,0,0,11
152,Fall 2005,Lower Division,ECON 102,27855,3.0,12,0,0,0,0,20,0,0,0,0,10
153,Fall 2005,Lower Division,ECON 102,28551,3.0,0,0,0,10,14,22,23,10,10,14,13
154,Fall 2005,Lower Division,ECON 102,29536,3.0,10,0,22,0,0,45,0,0,16,0,15
155,Fall 2005,Lower Division,ECON 102,29550,3.0,0,0,11,0,0,17,0,0,0,0,0
156,Fall 2005,Lower Division,ECON 103,26459,3.0,0,0,10,0,0,13,0,0,15,0,0
157,Fall 2005,Lower Division,ECON 103,26477,3.0,0,0,13,0,0,39,0,16,0,0,14
158,Fall 2005,Lower Division,ECON 103,26529,3.0,12,12,19,0,0,12,0,0,0,0,0
159,Fall 2005,Lower Division,ECON 103,26668,3.0,0,0,30,0,15,27,13,0,0,0,0
160,Fall 2005,Lower Division,ECON 103,28911,3.0,0,0,18,0,0,38,0,0,0,0,17
161,Fall 2005,Lower Division,EECE 101,36901,2.0,38,0,0,0,0,0,0,0,0,0,0
162,Fall 2005,Lower Division,EECE 211L,31289,1.0,0,11,0,0,0,0,0,0,0,0,0
163,Fall 2005,Lower Division,ENGL 130,26418,3.0,0,0,0,13,11,11,14,0,0,0,0
164,Fall 2005,Lower Division,ENGL 130,26444,3.0,26,0,0,0,0,0,0,0,0,0,0
165,Fall 2005,Lower Division,ENGL 130,26811,3.0,10,0,0,11,0,0,0,0,0,0,0
166,Fall 2005,Lower Division,ENGL 130,27387,3.0,0,0,18,13,10,0,0,0,0,0,0
167,Fall 2005,Lower Division,ENGL 130,27645,3.0,0,12,16,15,0,13,0,0,0,0,0
168,Fall 2005,Lower Division,ENGL 130,28586,3.0,19,17,14,13,0,0,0,0,0,0,0
169,Fall 2005,Lower Division,ENGL 130,28649,3.0,12,0,14,10,16,0,0,0,0,0,0
170,Fall 2005,Lower Division,ENGL 130,29087,3.0,14,0,14,0,0,0,0,0,0,0,0
171,Fall 2005,Lower Division,ENGL 130,29642,3.0,0,17,12,15,21,0,0,0,0,0,0
172,Fall 2005,Lower Division,ENGL 130,30109,3.0,0,13,25,19,0,0,0,0,0,0,0
173,Fall 2005,Lower Division,ENGL 130,30273,3.0,0,0,0,11,0,0,0,0,0,0,0
174,Fall 2005,Lower Division,ENGL 130,30789,3.0,22,0,0,0,0,0,0,0,0,0,0
175,Fall 2005,Lower Division,ENGL 130,35130,3.0,0,13,0,0,0,0,0,0,0,0,0
176,Fall 2005,Lower Division,ENGL 130,39680,3.0,0,0,13,17,11,0,0,0,0,0,0
177,Fall 2005,Lower Division,ENGL 220,27295,3.0,14,0,0,0,0,0,0,0,0,0,0
178,Fall 2005,Lower Division,ENGL 220,27987,3.0,34,0,0,0,0,0,0,0,0,0,0
179,Fall 2005,Lower Division,ENGL 230,28933,3.0,0,0,0,12,0,0,0,0,0,0,0
180,Fall 2005,Lower Division,ENGL 240,32316,3.0,12,0,0,12,0,0,0,0,0,0,0
181,Fall 2005,Lower Division,ENGL 240,35130,3.0,0,13,0,0,0,0,0,0,0,0,0
182,Fall 2005,Lower Division,ENGL 254,35397,3.0,0,15,0,0,0,0,0,0,0,0,0
183,Fall 2005,Lower Division,ENGL 258,27889,3.0,0,0,0,10,0,0,0,0,0,0,0
184,Fall 2005,Lower Division,ENGL 258,39092,3.0,17,0,0,0,0,0,0,0,0,0,0
185,Fall 2005,Lower Division,ENGL 260,27889,3.0,10,13,0,0,0,0,0,0,0,0,0
186,Fall 2005,Lower Division,ENGR 101,31010,2.0,31,0,0,0,0,0,0,0,0,0,0
187,Fall 2005,Lower Division,ENVL 105,31147,3.0,0,0,11,0,0,0,0,0,0,0,0
188,Fall 2005,Lower Division,GEOG 102,26562,3.0,21,0,23,0,0,12,0,0,0,0,0
189,Fall 2005,Lower Division,GEOG 102,30730,3.0,19,0,16,0,0,0,0,0,0,0,0
190,Fall 2005,Lower Division,GEOG 105,28268,3.0,0,0,20,0,16,10,12,0,0,0,0
191,Fall 2005,Lower Division,GEOG 105,31828,3.0,0,0,17,0,12,21,0,0,0,0,0
192,Fall 2005,Lower Division,GEOG 106,29008,3.0,0,0,11,0,0,0,0,0,0,0,0
193,Fall 2005,Lower Division,GEOG 106,36354,3.0,35,0,11,10,0,0,0,0,0,0,0
194,Fall 2005,Lower Division,GEOG 219,31709,3.0,0,0,16,0,0,15,0,0,0,0,0
195,Fall 2005,Lower Division,GEOS 101,26462,2.0,0,0,20,0,17,15,23,10,0,0,0
196,Fall 2005,Lower Division,GEOS 101,32731,2.0,0,0,13,0,16,13,17,0,0,12,0
197,Fall 2005,Lower Division,GEOS 102,29717,2.0,0,0,11,0,0,0,0,0,0,0,0
198,Fall 2005,Lower Division,GEOS 105,28949,2.0,0,0,17,0,22,42,0,0,0,0,0
199,Fall 2005,Lower Division,GEOS 105,29171,2.0,0,0,12,0,0,19,34,17,0,0,0
200,Fall 2005,Lower Division,GEOS 130,40689,2.0,0,0,24,0,20,15,14,0,0,0,0
201,Fall 2005,Lower Division,GEOS 141,30136,2.0,0,0,18,0,0,31,11,13,18,0,0
202,Fall 2005,Lower Division,GERM 101,27231,3.0,12,0,0,0,0,0,0,0,0,0,0
203,Fall 2005,Lower Division,GSTP 113,30893,3.0,0,0,11,0,0,0,0,0,0,0,0
204,Fall 2005,Lower Division,GSTP 114,30893,3.0,11,0,0,0,0,0,0,0,0,0,0
205,Fall 2005,Lower Division,HBRW 101,33111,3.0,11,0,0,0,0,0,0,0,0,0,0
206,Fall 2005,Lower Division,HCSV 160,29568,3.0,0,0,19,0,0,0,0,0,0,0,0
207,Fall 2005,Lower Division,HCSV 265,28398,3.0,10,0,43,0,0,27,0,0,0,0,0
208,Fall 2005,Lower Division,HCSV 265,29568,3.0,0,0,35,0,0,35,0,0,0,0,0
209,Fall 2005,Lower Division,HIST 101,28226,3.0,32,0,22,0,0,0,0,0,0,0,0
210,Fall 2005,Lower Division,HIST 102,26395,3.0,0,0,11,0,13,14,13,0,0,0,0
211,Fall 2005,Lower Division,HIST 102,26505,3.0,0,14,18,0,0,0,0,0,0,0,0
212,Fall 2005,Lower Division,HIST 103,27412,3.0,12,0,15,0,0,0,0,0,0,0,0
213,Fall 2005,Lower Division,HIST 110,28861,3.0,11,15,0,13,0,0,0,0,0,0,0
214,Fall 2005,Lower Division,HIST 112,31166,3.0,0,0,10,12,0,0,0,0,0,0,0
215,Fall 2005,Lower Division,HIST 130,26923,3.0,0,14,27,12,23,23,14,0,0,12,0
216,Fall 2005,Lower Division,HIST 130,27281,3.0,0,0,15,10,10,18,11,0,0,0,0
217,Fall 2005,Lower Division,HIST 130,27443,3.0,27,22,18,29,33,32,28,13,0,0,0
218,Fall 2005,Lower Division,HIST 130,28240,3.0,10,0,37,0,0,64,0,0,17,0,21
219,Fall 2005,Lower Division,HIST 130,28470,3.0,0,0,0,0,0,0,0,10,0,0,0
220,Fall 2005,Lower Division,HIST 130,31684,3.0,0,17,24,14,31,21,16,24,11,16,11
221,Fall 2005,Lower Division,HIST 130,32838,3.0,0,0,16,0,0,14,15,0,0,0,0
222,Fall 2005,Lower Division,HIST 130,38774,3.0,0,0,15,0,19,0,0,0,0,0,0
223,Fall 2005,Lower Division,HIST 230,28470,3.0,0,0,0,0,0,12,11,0,0,0,0
224,Fall 2005,Lower Division,HUMN 100,28277,3.0,0,11,13,12,19,0,0,0,0,0,0
225,Fall 2005,Lower Division,INST 198,-2,3.0,22,0,0,0,0,0,0,0,0,0,0
226,Fall 2005,Lower Division,ITAL 101,31325,3.0,0,13,0,0,0,0,0,0,0,0,0
227,Fall 2005,Lower Division,JAPN 101,30957,3.0,31,0,0,0,0,0,0,12,0,0,0
228,Fall 2005,Lower Division,JOUR 101,28813,3.0,0,0,17,0,13,13,0,0,0,0,0
229,Fall 2005,Lower Division,JOUR 244,36321,3.0,0,0,14,15,13,0,11,0,0,0,0
230,Fall 2005,Lower Division,JOUR 260,28402,2.0,0,10,0,0,0,0,0,0,0,0,0
231,Fall 2005,Lower Division,KINE 226,29484,2.0,15,0,0,0,0,0,0,0,0,0,0
232,Fall 2005,Lower Division,KINE 296,28686,3.0,35,11,20,0,0,0,0,0,0,0,0
233,Fall 2005,Lower Division,KINE 296,30092,3.0,200,34,26,0,25,0,0,0,0,0,0
234,Fall 2005,Lower Division,KINE 296,30325,3.0,45,0,16,0,0,0,0,0,0,0,0
235,Fall 2005,Lower Division,LAST 150,26997,1.0,16,0,0,0,0,0,0,0,0,0,0
236,Fall 2005,Lower Division,MATH 011,27748,5.0,11,0,19,0,0,12,0,0,0,0,0
237,Fall 2005,Lower Division,MATH 011,28637,5.0,14,0,20,0,0,23,0,0,0,0,0
238,Fall 2005,Lower Division,MATH 011,37037,5.0,0,0,17,0,0,0,0,0,0,0,0
239,Fall 2005,Lower Division,MATH 031,26896,5.0,0,0,20,0,0,23,0,0,0,0,0
240,Fall 2005,Lower Division,MATH 031,28619,5.0,0,0,0,0,0,16,0,0,0,0,0
241,Fall 2005,Lower Division,MATH 031,37600,5.0,11,0,14,0,0,21,0,0,0,0,0
242,Fall 2005,Lower Division,MATH 032,27959,5.0,0,0,10,0,0,0,0,0,0,0,0
243,Fall 2005,Lower Division,MATH 032,30251,5.0,0,0,29,0,0,31,0,0,0,0,0
244,Fall 2005,Lower Division,MATH 032,39326,5.0,0,0,20,0,0,0,0,0,0,0,0
245,Fall 2005,Lower Division,MATH 051,26896,3.0,0,0,11,0,0,10,0,0,0,0,0
246,Fall 2005,Lower Division,MATH 051,26915,3.0,0,0,13,0,0,17,0,0,0,0,0
247,Fall 2005,Lower Division,MATH 051,27887,3.0,0,0,13,0,0,12,0,0,0,0,0
248,Fall 2005,Lower Division,MATH 051,28533,3.0,0,0,19,0,0,11,0,0,0,0,0
249,Fall 2005,Lower Division,MATH 051,31131,3.0,38,0,20,0,0,30,0,0,0,0,0
250,Fall 2005,Lower Division,MATH 051,31390,3.0,0,0,14,0,0,11,0,0,0,0,0
251,Fall 2005,Lower Division,MATH 101,26776,3.0,0,0,12,0,0,18,11,24,11,0,13
252,Fall 2005,Lower Division,MATH 101,27284,3.0,0,11,0,12,0,0,16,0,0,0,0
253,Fall 2005,Lower Division,MATH 101,27944,3.0,46,0,30,0,0,11,0,0,0,0,15
254,Fall 2005,Lower Division,MATH 105,26452,3.0,24,0,0,0,0,0,0,0,0,0,0
255,Fall 2005,Lower Division,MATH 105,26810,3.0,32,17,17,0,0,12,0,0,0,0,11
256,Fall 2005,Lower Division,MATH 105,28609,3.0,0,0,0,0,0,11,0,17,10,0,0
257,Fall 2005,Lower Division,MATH 105,31660,3.0,0,0,13,0,0,18,0,0,0,0,0
258,Fall 2005,Lower Division,MATH 105H,27284,3.0,10,0,0,0,0,0,0,0,0,0,0
259,Fall 2005,Lower Division,MATH 107,28199,3.0,0,0,0,0,0,12,0,0,0,0,13
260,Fall 2005,Lower Division,MATH 107,28583,3.0,37,13,18,0,14,0,0,0,0,0,0
261,Fall 2005,Lower Division,MATH 107,28609,3.0,0,0,0,0,0,0,0,0,15,0,0
262,Fall 2005,Lower Division,MATH 107,28658,3.0,0,0,0,0,0,0,14,0,0,0,0
263,Fall 2005,Lower Division,MATH 107,29677,3.0,0,0,0,17,0,20,0,0,0,0,0
264,Fall 2005,Lower Division,MATH 107,31585,3.0,40,21,11,14,16,0,14,0,0,0,14
265,Fall 2005,Lower Division,MATH 108,26810,3.0,0,0,12,0,0,0,0,0,0,0,0
266,Fall 2005,Lower Division,MATH 108,28902,3.0,0,0,0,0,0,22,0,0,0,0,0
267,Fall 2005,Lower Division,MATH 108,37990,3.0,0,0,0,0,0,0,0,0,0,0,18
268,Fall 2005,Lower Division,MATH 109,26452,3.0,11,0,13,0,0,0,0,0,0,0,10
269,Fall 2005,Lower Division,MATH 111,31131,3.0,15,0,0,0,0,0,0,0,0,0,0
270,Fall 2005,Lower Division,MATH 118,35059,3.0,27,0,26,0,0,15,0,0,0,0,0
271,Fall 2005,Lower Division,MATH 119,27694,4.0,0,0,0,0,0,0,0,0,0,0,12
272,Fall 2005,Lower Division,MATH 120,28743,4.0,0,0,0,0,0,0,0,0,10,0,0
