Term,Course Division,Course,Section,Units,Random Faculty ID,Total Enrolled,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F
Summer 2015,Lower Division,HIST146__01,,,,,107,8,15,10,3,2,3,0,0,0,0,1
Summer 2015,Lower Division,BIOL223__01,,,,,3,3,4,12,20,15,26,7,0,26,0,19
Summer 2015,Lower Division,BIOL224__01,,,,,6,4,13,12,16,18,16,8,0,17,0,6
Summer 2015,Lower Division,CSE_129__70,,,,,52,8,14,8,5,6,2,1,0,1,0,0
Summer 2015,Lower Division,BIOL100__01,,,,,2,14,17,23,6,14,7,3,4,3,0,1
Summer 2015,Upper Division,NSCI325__02,,,,,6,5,1,21,9,12,22,8,0,4,1,3
Summer 2015,Upper Division,NSCI300__01,,,,,26,4,12,11,10,9,8,4,1,1,0,1
Summer 2015,Upper Division,SSCI316__04,,,,,38,12,10,19,1,1,4,1,1,0,0,0
Summer 2015,Lower Division,CHEM215__01,,,,,11,8,11,13,8,4,11,2,5,4,0,7
Summer 2015,Lower Division,BIOL100__07,,,,,5,6,7,13,13,10,15,7,1,3,0,3
Summer 2015,Lower Division,CSE_122__70,,,,,44,15,6,5,2,1,0,2,0,0,0,1
Summer 2015,Upper Division,PSYC311__01,,,,,8,6,8,8,16,5,9,0,2,1,1,12
Summer 2015,Lower Division,PSCI203__01,,,,,12,9,14,25,2,5,6,0,0,1,0,0
Summer 2015,Lower Division,PSCI203__02,,,,,6,1,3,19,4,5,18,3,2,6,1,3
Summer 2015,Upper Division,HUM_344__01,,,,,22,6,3,19,5,0,12,0,0,1,0,2
Summer 2015,Upper Division,HUM_325__01,,,,,3,7,14,18,8,7,6,0,1,1,0,3
Summer 2015,Upper Division,HUM_335__70,,,,,13,7,4,18,3,5,6,2,1,5,0,4
Summer 2015,Lower Division,CHEM216__01,,,,,7,8,6,13,7,9,5,5,3,1,0,0
Summer 2015,Upper Division,NSCI351__01,,,,,27,15,5,8,1,3,2,0,0,0,0,0
Summer 2015,Upper Division,CJUS455__01,,,,,20,8,8,12,3,3,3,1,1,0,0,0
Summer 2015,Upper Division,HUM_328__01,,,,,34,11,2,5,3,0,2,1,0,0,0,0
Summer 2015,Upper Division,NSCI325__01,,,,,4,9,5,12,7,11,4,1,1,0,1,0
Summer 2015,Upper Division,HUM_325__02,,,,,1,1,1,9,10,4,13,3,3,0,1,5
Summer 2015,Upper Division,SSCI316__02,,,,,22,3,8,10,3,5,0,0,0,0,0,0
Summer 2015,Upper Division,MKTG305__70,,,,,18,14,11,3,2,1,0,0,0,0,0,0
Summer 2015,Upper Division,HUM_375__01,,,,,20,14,4,2,2,3,0,0,0,0,0,1
Summer 2015,Upper Division,MGMT330__02,,,,,16,4,3,15,1,3,4,0,0,0,0,0
Summer 2015,Upper Division,SOC_343__01,,,,,8,16,5,5,2,2,0,1,0,1,1,4
Summer 2015,Lower Division,HD__270__01,,,,,10,0,5,15,0,5,4,0,3,1,0,1
Summer 2015,Upper Division,FIN_313__01,,,,,12,4,5,6,1,3,10,0,0,0,0,2
Summer 2015,Upper Division,PSYC350__01,,,,,7,9,4,10,7,2,1,2,1,0,0,0
Summer 2015,Upper Division,SSCI325__01,,,,,2,4,6,13,3,3,7,1,0,2,0,2
Summer 2015,Lower Division,KINE205__01,,,,,25,4,2,1,2,0,2,1,0,1,0,4
Summer 2015,Lower Division,HD__280__01,,,,,7,0,8,14,0,7,4,0,0,0,0,1
Summer 2015,Upper Division,FIN_314__02,,,,,4,10,9,10,4,2,2,0,0,0,0,0
Summer 2015,Upper Division,SOC_307__01,,,,,19,12,4,4,1,0,0,0,0,0,0,1
Summer 2015,Upper Division,SOC_339__01,,,,,4,7,5,14,5,2,2,1,0,0,0,1
