,Term,Term Name,Courselev (group),Course,Facid,A,A-,B,B+,B-,C,C+,C-,CR,D,D+,F,NC,WU,Max. Units Class
53,2094,Fall 2009,1:Undergraduate,ART  326,ZNKCI,18,4,9,4,3,0,0,0,1,1,0,0,0,0,
54,2094,Fall 2009,1:Undergraduate,ART  329,JSXVF,16,5,4,3,1,0,0,0,0,0,0,1,0,0,
55,2094,Fall 2009,1:Undergraduate,ART  330,LHZRH,5,4,0,0,1,0,2,0,0,1,0,0,0,0,
56,2094,Fall 2009,1:Undergraduate,ART  337,OGBSH,8,4,4,4,1,0,0,0,0,0,0,0,0,0,
57,2094,Fall 2009,1:Undergraduate,ART  337,POLMI,17,0,2,1,1,1,0,1,0,1,0,2,0,0,
58,2094,Fall 2009,1:Undergraduate,ART  339,OGBSH,6,3,4,4,2,0,2,0,0,1,0,1,0,1,
59,2094,Fall 2009,1:Undergraduate,ART  340,CXGRF,20,0,0,8,1,1,3,0,1,1,0,2,0,3,
60,2094,Fall 2009,1:Undergraduate,ART  345,WPGRG,14,0,1,0,1,0,0,6,1,0,0,1,0,2,
61,2094,Fall 2009,1:Undergraduate,ART  346,WPGRG,10,0,6,0,0,2,0,2,0,1,0,0,0,1,
62,2094,Fall 2009,1:Undergraduate,ART  348,OSHVH,3,2,4,3,0,0,1,0,0,0,0,0,1,1,
63,2094,Fall 2009,1:Undergraduate,ART  350,GAMVG,4,3,9,4,2,3,1,0,1,0,0,0,0,0,
64,2094,Fall 2009,1:Undergraduate,ART  351,GAMVG,7,3,6,4,2,0,3,0,0,0,0,1,1,0,
65,2094,Fall 2009,1:Undergraduate,ART  356,JEHAI,11,5,4,2,0,1,1,0,0,1,1,0,0,0,
66,2094,Fall 2009,1:Undergraduate,ART  357B,YDILI,15,0,3,1,2,0,1,0,0,0,0,1,0,0,
67,2094,Fall 2009,1:Undergraduate,ART  358,FPNBI,4,7,4,3,1,1,1,0,0,0,0,0,0,0,
68,2094,Fall 2009,1:Undergraduate,ART  359,GAMVG,5,2,4,2,5,0,0,0,2,0,0,3,1,2,
69,2094,Fall 2009,1:Undergraduate,ART  456,JEHAI,8,1,0,0,0,0,1,0,0,0,0,2,0,0,
70,2094,Fall 2009,1:Undergraduate,ART  496,GAMVG,4,1,2,0,2,0,0,0,0,0,0,0,0,1,
71,2094,Fall 2009,1:Undergraduate,ART  496,ZNKCI,7,3,0,2,0,0,0,0,0,0,0,0,0,0,
72,2094,Fall 2009,1:Undergraduate,ART  498B,FPNBI,11,3,1,2,0,0,0,0,0,0,0,0,0,0,
73,2094,Fall 2009,1:Undergraduate,BA   110,QFGHI,19,4,10,5,4,0,2,0,0,0,1,4,0,0,
74,2094,Fall 2009,1:Undergraduate,BA   210,FTHVH,12,12,36,6,9,23,3,5,0,1,4,1,0,4,
75,2094,Fall 2009,1:Undergraduate,BA   250,FNAQI,3,0,2,2,1,8,2,2,0,5,0,8,0,1,
76,2094,Fall 2009,1:Undergraduate,BA   250,UZNRI,1,3,3,3,3,8,3,5,0,6,0,8,1,0,
77,2094,Fall 2009,1:Undergraduate,BA   252,FNAQI,5,0,9,1,4,5,5,3,0,5,2,2,3,4,
78,2094,Fall 2009,1:Undergraduate,BA   332,BJLRI,5,2,8,2,3,5,5,3,0,0,0,0,1,3,
79,2094,Fall 2009,1:Undergraduate,BA   340,QFGHI,12,7,6,9,9,0,2,1,0,0,0,6,0,0,
80,2094,Fall 2009,1:Undergraduate,BA   345,QFGHI,11,6,5,3,5,1,2,0,1,0,0,5,0,0,
81,2094,Fall 2009,1:Undergraduate,BA   355,NNKCI,4,6,2,9,5,3,8,1,0,0,0,0,1,2,
82,2094,Fall 2009,1:Undergraduate,BA   360,YIKQF,6,10,6,9,7,2,6,1,0,0,1,4,0,0,
83,2094,Fall 2009,1:Undergraduate,BA   370,MUFHI,10,3,12,3,3,9,3,2,0,2,1,0,0,2,
84,2094,Fall 2009,1:Undergraduate,BA   375,MUFHI,9,5,16,5,2,6,0,1,0,0,0,1,0,3,
85,2094,Fall 2009,1:Undergraduate,BA   380,MUFHI,5,4,7,3,3,3,1,1,1,0,0,0,1,0,
86,2094,Fall 2009,1:Undergraduate,BA   410,DRHEI,0,2,2,2,6,3,4,0,0,0,0,0,0,0,
87,2094,Fall 2009,1:Undergraduate,BA   412,YMFDH,48,9,11,7,0,0,1,0,0,0,0,0,0,0,
88,2094,Fall 2009,1:Undergraduate,BA   414,VNRTS,4,5,11,14,6,0,0,0,0,0,0,4,0,0,
89,2094,Fall 2009,1:Undergraduate,BA   415,DRHEI,0,1,4,0,5,2,4,0,0,0,0,1,0,0,
90,2094,Fall 2009,1:Undergraduate,BA   444,UNRTS,5,2,10,7,3,0,1,2,0,0,1,0,0,0,
91,2094,Fall 2009,1:Undergraduate,BA   450,YMFDH,19,6,3,2,1,0,1,0,0,0,0,1,0,0,
92,2094,Fall 2009,1:Undergraduate,BA   453,NNKCI,8,5,8,3,1,0,1,0,0,0,0,0,0,3,
93,2094,Fall 2009,1:Undergraduate,BA   460,MWFQH,0,4,3,7,2,1,4,0,0,0,0,0,0,0,
94,2094,Fall 2009,1:Undergraduate,BA   468,UNRTS,0,0,1,2,6,2,4,6,0,0,0,0,0,0,
95,2094,Fall 2009,1:Undergraduate,BA   470,VNRTS,24,5,1,4,1,1,1,0,0,0,0,4,0,0,
96,2094,Fall 2009,1:Undergraduate,BA   472,DRHEI,9,4,4,4,3,8,3,4,0,5,0,2,0,0,
97,2094,Fall 2009,1:Undergraduate,BIOL 104,LVTOG,12,6,16,17,7,12,9,2,15,9,4,5,9,0,
98,2094,Fall 2009,1:Undergraduate,BIOL 104,XEGUH,17,5,8,7,5,13,4,7,15,18,6,17,6,4,
99,2094,Fall 2009,1:Undergraduate,BIOL 105,WYGJG,3,4,9,3,10,9,4,4,1,6,4,5,1,4,
100,2094,Fall 2009,1:Undergraduate,BIOL 105,YTHXH,8,9,9,8,13,12,8,5,0,3,1,2,0,1,
101,2094,Fall 2009,1:Undergraduate,BIOL 180A,BBIWH,0,0,0,0,0,0,0,0,82,0,0,0,16,0,
102,2094,Fall 2009,1:Undergraduate,BIOL 305,SDQSG,8,11,18,10,23,9,14,9,9,3,6,8,5,0,
103,2094,Fall 2009,1:Undergraduate,BIOL 307,WWHGH,15,4,15,1,3,6,2,3,0,1,1,0,0,1,
104,2094,Fall 2009,1:Undergraduate,BIOL 330,BNFNH,12,0,36,13,1,3,6,1,0,0,1,0,0,0,
105,2094,Fall 2009,1:Undergraduate,BIOL 340,JRLZF,3,5,9,10,7,3,5,8,0,5,3,6,2,3,
106,2094,Fall 2009,1:Undergraduate,BIOL 410,NDSPG,1,4,1,3,3,3,2,0,0,1,0,0,0,0,
107,2094,Fall 2009,1:Undergraduate,BIOL 412,LCHLI,5,4,5,4,4,7,2,5,0,0,0,3,0,0,
108,2094,Fall 2009,1:Undergraduate,BIOL 440,IOOYH,2,5,3,6,1,1,2,1,0,0,0,0,0,0,
109,2094,Fall 2009,1:Undergraduate,BIOM 109,MPNPI,16,8,20,8,21,30,7,14,0,8,0,25,4,0,
110,2094,Fall 2009,1:Undergraduate,BIOM 333,GTERF,13,6,4,1,2,0,1,0,0,1,0,0,0,0,
111,2094,Fall 2009,1:Undergraduate,BOT  105,DMPCG,10,11,16,9,15,12,13,4,3,12,4,10,2,7,
112,2094,Fall 2009,1:Undergraduate,BOT  105,JHHEI,6,5,9,5,0,6,8,6,1,2,0,10,7,1,
113,2094,Fall 2009,1:Undergraduate,BOT  105,KHBNI,21,8,16,7,11,6,5,18,1,10,2,37,11,4,
114,2094,Fall 2009,1:Undergraduate,BOT  310,YAIWH,12,3,17,9,2,1,5,0,0,0,0,0,0,0,
115,2094,Fall 2009,1:Undergraduate,BOT  330,MUYFG,8,3,17,7,3,16,5,3,0,2,1,1,0,1,
116,2094,Fall 2009,1:Undergraduate,BOT  330L,MUYFG,6,5,7,2,0,2,1,0,0,0,0,0,0,0,
117,2094,Fall 2009,1:Undergraduate,BOT  350,DHHEI,16,6,20,2,1,18,4,1,0,2,0,5,0,1,
118,2094,Fall 2009,1:Undergraduate,BOT  358,XKILI,8,1,5,4,1,2,2,0,0,1,1,0,0,0,
119,2094,Fall 2009,1:Undergraduate,BOT  360,XKILI,5,1,5,2,4,2,0,0,0,0,0,0,0,1,
120,2094,Fall 2009,1:Undergraduate,BOT  360L,XKILI,5,3,2,2,2,1,3,0,0,0,0,0,0,1,
121,2094,Fall 2009,1:Undergraduate,BOT  372,KHBNI,5,2,1,1,5,4,2,0,0,0,0,1,0,0,
122,2094,Fall 2009,1:Undergraduate,CD   109Y,LXHOI,6,2,3,3,3,1,1,6,0,1,2,2,1,1,
123,2094,Fall 2009,1:Undergraduate,CD   109Z,LXHOI,4,5,2,3,3,4,1,2,2,1,0,0,2,1,
124,2094,Fall 2009,1:Undergraduate,CD   211,MHHEI,4,16,5,11,2,0,1,0,0,0,0,2,0,0,
125,2094,Fall 2009,1:Undergraduate,CD   255,YOLMI,6,5,9,2,5,1,2,1,0,1,0,0,0,0,
126,2094,Fall 2009,1:Undergraduate,CD   256,YOLMI,9,7,2,2,4,2,1,1,0,0,0,1,0,0,
127,2094,Fall 2009,1:Undergraduate,CD   257,YOLMI,12,3,2,1,1,0,0,0,0,0,0,0,0,0,
128,2094,Fall 2009,1:Undergraduate,CD   310,IJMSI,4,7,2,6,3,0,1,0,2,0,0,0,0,3,
129,2094,Fall 2009,1:Undergraduate,CD   352,MHHEI,7,7,1,10,1,0,0,1,0,0,0,0,0,1,
130,2094,Fall 2009,1:Undergraduate,CD   354,YOLMI,8,2,1,3,2,1,0,0,0,1,0,1,0,0,
131,2094,Fall 2009,1:Undergraduate,CD   355,IJMSI,6,7,3,2,5,4,3,3,0,0,0,0,0,2,
132,2094,Fall 2009,1:Undergraduate,CD   356,YOLMI,12,7,0,0,0,0,0,0,0,0,0,0,0,0,
133,2094,Fall 2009,1:Undergraduate,CD   362,IJMSI,6,6,2,3,3,2,1,1,1,0,0,1,0,0,
134,2094,Fall 2009,1:Undergraduate,CD   467,MHHEI,9,14,1,4,0,1,1,0,0,0,0,0,0,0,
135,2094,Fall 2009,1:Undergraduate,CD   469,MHHEI,9,6,3,4,2,0,0,0,0,1,0,0,0,0,
136,2094,Fall 2009,1:Undergraduate,CHEM 107,KPLMI,18,14,9,16,10,13,8,7,0,8,16,49,0,0,
137,2094,Fall 2009,1:Undergraduate,CHEM 109,BUHXH,2,7,11,8,10,44,40,47,0,8,14,18,0,23,
138,2094,Fall 2009,1:Undergraduate,CHEM 110,ZXMKI,5,3,9,6,4,19,9,4,0,7,0,4,0,0,
139,2094,Fall 2009,1:Undergraduate,CHEM 117,MJMSI,7,4,4,3,1,7,1,0,0,0,0,4,0,3,
140,2094,Fall 2009,1:Undergraduate,CHEM 199,QQHEI,0,0,0,0,0,0,0,0,61,0,0,0,20,0,
141,2094,Fall 2009,1:Undergraduate,CHEM 321,ZFHRF,7,0,20,2,0,6,0,4,0,3,0,1,0,0,
142,2094,Fall 2009,1:Undergraduate,CHEM 328,EUKSF,6,4,8,13,8,13,4,14,0,9,0,10,0,5,
143,2094,Fall 2009,1:Undergraduate,CHEM 341,QJLRI,3,0,4,0,3,2,0,0,0,1,0,0,0,1,
144,2094,Fall 2009,1:Undergraduate,CHEM 410,QQHEI,2,2,2,2,1,0,0,0,0,0,0,1,0,0,
145,2094,Fall 2009,1:Undergraduate,CHEM 431,OGOBI,1,0,5,1,0,0,0,0,1,0,0,0,0,3,
146,2094,Fall 2009,1:Undergraduate,CHIN 105,RLVQF,10,5,4,2,0,1,0,0,1,0,0,0,0,0,
147,2094,Fall 2009,1:Undergraduate,CHIN 110,RLVQF,0,0,0,0,0,0,0,0,13,0,0,0,23,0,
148,2094,Fall 2009,1:Undergraduate,CHIN 280,RLVQF,0,0,0,0,0,0,0,0,19,0,0,0,12,0,
149,2094,Fall 2009,1:Undergraduate,CIS  100,QQFEH,21,8,12,1,2,11,5,3,2,3,1,4,4,4,
150,2094,Fall 2009,1:Undergraduate,CIS  130,QYGVH,3,0,4,0,2,4,0,1,0,3,0,2,0,3,
151,2094,Fall 2009,1:Undergraduate,CIS  230,QYGVH,1,0,4,1,0,4,0,0,0,1,1,1,0,2,
152,2094,Fall 2009,1:Undergraduate,CIS  235,QQFEH,5,3,4,0,0,1,0,0,0,1,0,0,0,0,
153,2094,Fall 2009,1:Undergraduate,CIS  309,VBHRF,4,6,3,13,3,1,0,0,0,1,1,3,1,0,
154,2094,Fall 2009,1:Undergraduate,CIS  315,UPNPI,12,1,1,2,5,1,1,0,1,0,1,0,0,1,
155,2094,Fall 2009,1:Undergraduate,CIS  350,QYGVH,1,0,8,0,2,4,0,0,0,0,0,1,0,0,
156,2094,Fall 2009,1:Undergraduate,CIS  372,HALSF,4,2,4,5,1,1,1,0,0,1,0,0,0,0,
157,2094,Fall 2009,1:Undergraduate,CIS  450,UPNPI,11,3,0,3,0,0,0,0,0,0,0,0,0,0,
158,2094,Fall 2009,1:Undergraduate,COMM 100,BYKSF,3,4,6,4,3,2,1,0,0,0,0,1,1,0,
159,2094,Fall 2009,1:Undergraduate,COMM 100,CRHEI,7,7,9,16,2,1,6,1,0,1,0,5,0,0,
160,2094,Fall 2009,1:Undergraduate,COMM 100,FYMPI,8,6,7,2,1,0,0,1,0,2,0,0,0,1,
161,2094,Fall 2009,1:Undergraduate,COMM 100,JOFNH,41,6,17,1,6,2,1,0,0,0,1,0,0,5,
162,2094,Fall 2009,1:Undergraduate,COMM 100,JXHOI,7,15,10,8,4,1,2,1,0,0,0,0,0,1,
163,2094,Fall 2009,1:Undergraduate,COMM 100,UAHTH,35,16,9,10,4,5,7,3,0,9,0,6,0,1,
164,2094,Fall 2009,1:Undergraduate,COMM 100,XTFHI,12,15,19,17,15,1,7,3,0,0,3,10,3,1,
165,2094,Fall 2009,1:Undergraduate,COMM 100,ZHPYH,43,28,18,21,9,3,8,10,1,0,0,1,1,6,
166,2094,Fall 2009,1:Undergraduate,COMM 102,UAHTH,7,8,8,5,1,2,1,0,4,0,0,1,1,0,
167,2094,Fall 2009,1:Undergraduate,COMM 105,JXHOI,12,0,3,0,0,7,0,0,8,0,0,0,0,2,
168,2094,Fall 2009,1:Undergraduate,COMM 108,XTFHI,3,6,3,3,0,1,1,0,1,1,0,2,0,0,
169,2094,Fall 2009,1:Undergraduate,COMM 110,JOFNH,5,1,1,0,1,0,0,0,0,0,0,0,0,3,
170,2094,Fall 2009,1:Undergraduate,COMM 300,FYMPI,12,8,2,6,1,2,1,1,1,0,0,2,0,0,
171,2094,Fall 2009,1:Undergraduate,COMM 309B,BYKSF,6,3,7,6,6,4,4,3,2,2,0,1,1,0,
172,2094,Fall 2009,1:Undergraduate,COMM 319,BGJCG,3,7,4,3,1,3,2,2,0,0,0,0,0,0,
173,2094,Fall 2009,1:Undergraduate,COMM 322,VGHEI,8,6,7,3,9,2,4,1,0,3,2,5,2,1,
174,2094,Fall 2009,1:Undergraduate,COMM 324,BGJCG,4,2,6,2,2,1,0,0,3,0,0,0,0,1,
175,2094,Fall 2009,1:Undergraduate,COMM 404,FYMPI,23,4,2,0,1,0,1,0,0,0,0,0,0,0,
176,2094,Fall 2009,1:Undergraduate,COMM 416,BYKSF,6,0,9,3,2,2,0,1,0,1,0,1,0,0,
177,2094,Fall 2009,1:Undergraduate,COMM 426,WZESH,18,3,3,4,1,0,0,0,0,0,1,0,0,0,
178,2094,Fall 2009,1:Undergraduate,CS   131,UPNPI,9,3,5,1,1,2,2,0,0,2,1,7,2,3,
179,2094,Fall 2009,1:Undergraduate,ECON 104,YSGVH,19,5,8,12,4,13,5,4,2,11,1,5,1,1,
180,2094,Fall 2009,1:Undergraduate,ECON 210,GYPTS,8,8,9,5,4,11,15,6,0,8,0,1,0,0,
181,2094,Fall 2009,1:Undergraduate,ECON 306,ASNRI,8,7,15,2,4,6,1,4,0,1,1,2,3,3,
182,2094,Fall 2009,1:Undergraduate,ECON 306D,ASNRI,1,4,6,0,0,0,0,2,0,0,1,0,0,2,
183,2094,Fall 2009,1:Undergraduate,ECON 311,HKPFI,4,2,2,4,0,3,2,0,1,1,0,1,0,0,
184,2094,Fall 2009,1:Undergraduate,ECON 320,LSFNH,8,5,3,4,5,3,1,3,0,2,0,1,0,0,
185,2094,Fall 2009,1:Undergraduate,ECON 423,EVFPH,18,14,14,3,4,6,3,2,0,5,0,1,1,0,
186,2094,Fall 2009,1:Undergraduate,ECON 423D,EVFPH,7,0,2,1,0,1,0,1,0,0,0,1,0,0,
187,2094,Fall 2009,1:Undergraduate,ECON 435,GYPTS,6,1,5,2,2,5,3,6,0,1,0,0,1,0,
188,2094,Fall 2009,1:Undergraduate,ECON 470,ASNRI,4,3,2,2,1,0,0,0,0,0,0,1,2,0,
189,2094,Fall 2009,1:Undergraduate,EDUC 110,KKLNI,48,0,0,0,0,0,0,0,0,0,0,0,0,3,
190,2094,Fall 2009,1:Undergraduate,EDUC 285,LGMMI,0,0,0,0,0,0,0,0,43,0,0,0,24,0,
191,2094,Fall 2009,1:Undergraduate,EED  210,RJMSI,0,0,0,0,0,0,0,0,27,0,0,0,2,0,
192,2094,Fall 2009,1:Undergraduate,EED  310,KKLNI,21,0,1,0,0,0,0,0,0,0,0,0,0,2,
193,2094,Fall 2009,1:Undergraduate,ENGL 100,AVJOH,7,6,0,1,0,0,0,0,1,0,0,3,0,0,
194,2094,Fall 2009,1:Undergraduate,ENGL 100,AWKQF,8,3,5,3,1,3,2,0,0,0,0,7,0,0,
195,2094,Fall 2009,1:Undergraduate,ENGL 100,JMZYH,0,0,2,4,2,0,2,0,0,0,0,0,0,0,
196,2094,Fall 2009,1:Undergraduate,ENGL 100,KSARF,18,0,0,0,0,0,0,1,0,0,0,1,0,0,
197,2094,Fall 2009,1:Undergraduate,ENGL 100,NVLJI,7,5,7,5,2,2,1,2,0,0,0,2,0,0,
198,2094,Fall 2009,1:Undergraduate,ENGL 100,VEGUH,4,6,3,2,3,2,1,4,1,0,0,7,0,0,
199,2094,Fall 2009,1:Undergraduate,ENGL 100,VGDJI,8,6,0,1,0,0,0,0,0,0,0,3,0,0,
200,2094,Fall 2009,1:Undergraduate,ENGL 100,WQARH,5,3,0,1,0,0,0,2,0,0,0,1,0,0,
201,2094,Fall 2009,1:Undergraduate,ENGL 100,XCYQF,13,1,0,0,1,0,1,0,0,0,0,0,1,2,
202,2094,Fall 2009,1:Undergraduate,ENGL 100,XNOYH,27,5,1,0,0,0,0,1,0,0,0,0,0,0,
203,2094,Fall 2009,1:Undergraduate,ENGL 100,YEIXH,7,9,9,6,8,0,4,0,0,0,0,2,2,3,
204,2094,Fall 2009,1:Undergraduate,ENGL 100,YIGRF,12,7,8,6,2,1,0,3,0,0,0,6,0,0,
205,2094,Fall 2009,1:Undergraduate,ENGL 100A,AWKQF,3,3,3,2,2,1,2,0,0,0,0,4,0,0,
206,2094,Fall 2009,1:Undergraduate,ENGL 100A,BNMJI,2,5,6,4,2,0,0,0,0,0,0,0,0,1,
207,2094,Fall 2009,1:Undergraduate,ENGL 100A,JMZYH,1,0,2,2,1,2,1,0,2,0,0,0,1,0,
208,2094,Fall 2009,1:Undergraduate,ENGL 100A,NVLJI,3,10,4,4,3,2,2,1,0,0,0,0,0,0,
209,2094,Fall 2009,1:Undergraduate,ENGL 100A,WAKKI,7,2,0,0,2,0,1,0,1,0,0,2,0,0,
210,2094,Fall 2009,1:Undergraduate,ENGL 100A,WMFNH,3,6,6,5,3,0,1,0,0,0,0,0,1,1,
211,2094,Fall 2009,1:Undergraduate,ENGL 100A,WQARH,4,0,3,2,0,1,0,0,1,0,0,1,0,0,
212,2094,Fall 2009,1:Undergraduate,ENGL 100A,YIGRF,3,2,2,2,0,1,0,0,0,0,0,1,0,0,
213,2094,Fall 2009,1:Undergraduate,ENGL 105,TEGUH,1,5,7,5,17,7,14,8,1,7,6,5,3,0,
214,2094,Fall 2009,1:Undergraduate,ENGL 120,KNFNH,23,16,4,6,4,1,3,1,0,1,0,2,0,0,
215,2094,Fall 2009,1:Undergraduate,ENGL 200,VEGUH,0,0,0,0,0,0,0,0,30,0,0,0,16,0,
216,2094,Fall 2009,1:Undergraduate,ENGL 205,HDMDI,9,2,7,0,0,2,0,0,1,0,0,1,1,0,
217,2094,Fall 2009,1:Undergraduate,ENGL 205,VDHAI,9,3,1,3,0,1,0,0,0,1,0,0,0,0,
218,2094,Fall 2009,1:Undergraduate,ENGL 220,VDHAI,5,8,6,5,6,0,1,0,0,1,0,0,0,1,
219,2094,Fall 2009,1:Undergraduate,ENGL 225,TEGUH,2,7,3,4,5,1,2,0,1,0,0,1,0,0,
220,2094,Fall 2009,1:Undergraduate,ENGL 225,UKILI,6,3,3,6,4,3,2,0,0,0,0,0,1,1,
221,2094,Fall 2009,1:Undergraduate,ENGL 232,DIIZH,3,5,5,4,6,0,2,1,0,0,0,0,0,1,
222,2094,Fall 2009,1:Undergraduate,ENGL 305,VVWDH,4,1,6,6,6,0,2,1,1,1,1,0,0,0,
