,Term,Term Name,Courselev (group),Course,Facid,A,A-,B,B+,B-,C,C+,C-,CR,D,D+,F,NC,WU,Max. Units Class
0,2094,Fall 2009,1:Undergraduate,AHSS 309,BCGVH,5,6,8,12,5,1,0,2,14,0,0,0,2,1,
1,2094,Fall 2009,1:Undergraduate,ANTH 104,IAQDH,25,29,56,32,26,23,9,9,1,8,4,9,0,3,
2,2094,Fall 2009,1:Undergraduate,ANTH 105,COIRF,4,5,11,12,10,8,8,4,4,9,3,0,5,0,
3,2094,Fall 2009,1:Undergraduate,ANTH 110,JQQGI,12,7,2,2,0,1,0,2,0,0,0,1,0,0,
4,2094,Fall 2009,1:Undergraduate,ANTH 111,JQQGI,11,7,4,2,1,2,0,0,0,0,0,0,0,0,
5,2094,Fall 2009,1:Undergraduate,ANTH 302,KISCI,14,8,5,4,2,1,0,2,3,2,0,5,1,0,
6,2094,Fall 2009,1:Undergraduate,ANTH 303,JQQGI,16,7,15,4,5,1,5,2,5,0,0,0,0,0,
7,2094,Fall 2009,1:Undergraduate,ANTH 306,COIRF,10,4,11,6,5,3,2,1,0,0,1,1,2,0,
8,2094,Fall 2009,1:Undergraduate,ANTH 306,LTGWH,10,4,4,3,2,3,1,0,0,0,0,0,0,0,
9,2094,Fall 2009,1:Undergraduate,ANTH 310,KISCI,8,5,1,3,3,0,1,1,0,0,0,3,0,0,
10,2094,Fall 2009,1:Undergraduate,ANTH 310,QVBAH,5,6,0,6,0,0,0,0,0,0,0,1,0,0,
11,2094,Fall 2009,1:Undergraduate,ANTH 316,KISCI,10,4,1,2,0,1,1,0,0,1,0,1,0,0,
12,2094,Fall 2009,1:Undergraduate,ANTH 339,DZGWF,7,2,3,1,2,1,1,2,0,3,0,0,0,0,
13,2094,Fall 2009,1:Undergraduate,ANTH 340,QVBAH,10,5,5,3,0,0,0,0,1,0,0,0,0,2,
14,2094,Fall 2009,1:Undergraduate,ANTH 350,COIRF,4,0,8,4,1,1,1,1,0,0,1,1,0,0,
15,2094,Fall 2009,1:Undergraduate,ANTH 358,COIRF,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,2094,Fall 2009,1:Undergraduate,ANTH 485,DZGWF,0,0,0,0,0,0,0,0,15,0,0,0,8,0,
17,2094,Fall 2009,1:Undergraduate,ANTH 485,QGOBI,0,0,0,0,0,0,0,0,18,0,0,0,11,0,
18,2094,Fall 2009,1:Undergraduate,ANTH 485,USHVH,0,0,0,0,0,0,0,0,6,0,0,0,8,0,
19,2094,Fall 2009,1:Undergraduate,ART  103,PHHRF,4,12,12,10,12,0,5,2,2,1,0,2,0,0,
20,2094,Fall 2009,1:Undergraduate,ART  103,VQGLI,6,8,11,9,11,6,1,2,1,1,1,3,0,1,
21,2094,Fall 2009,1:Undergraduate,ART  104B,RZCVS,3,9,16,14,0,4,4,0,0,0,0,3,0,0,
22,2094,Fall 2009,1:Undergraduate,ART  104G,VQGLI,6,7,11,7,5,2,4,5,2,2,0,1,0,3,
23,2094,Fall 2009,1:Undergraduate,ART  104I,PHHRF,10,12,7,7,6,4,2,2,0,1,0,2,1,0,
24,2094,Fall 2009,1:Undergraduate,ART  104N,RZCVS,3,14,8,21,3,5,2,0,0,2,0,4,0,0,
25,2094,Fall 2009,1:Undergraduate,ART  105B,PENJI,4,7,5,1,3,0,1,1,0,0,2,1,0,1,
26,2094,Fall 2009,1:Undergraduate,ART  105B,RKPFI,4,8,2,7,0,2,1,1,0,0,0,0,1,0,
27,2094,Fall 2009,1:Undergraduate,ART  105B,ZPBGG,4,9,2,6,3,0,2,0,0,1,0,1,0,0,
28,2094,Fall 2009,1:Undergraduate,ART  105C,RKLNI,7,4,4,2,1,3,0,0,1,0,0,0,0,0,
29,2094,Fall 2009,1:Undergraduate,ART  106,JSXVF,19,11,8,17,0,1,0,1,1,0,0,0,1,0,
30,2094,Fall 2009,1:Undergraduate,ART  106,PENJI,5,5,2,2,2,1,0,0,0,0,0,3,1,2,
31,2094,Fall 2009,1:Undergraduate,ART  107,LHZRH,14,7,3,5,2,1,2,3,1,0,0,2,1,3,
32,2094,Fall 2009,1:Undergraduate,ART  108,HBQLI,17,0,0,2,0,1,1,0,0,0,0,3,0,0,
33,2094,Fall 2009,1:Undergraduate,ART  108,UFCOI,1,8,4,6,1,3,0,3,0,0,0,1,0,0,
34,2094,Fall 2009,1:Undergraduate,ART  109,DGUKI,6,3,3,1,4,1,0,3,0,0,0,2,0,0,
35,2094,Fall 2009,1:Undergraduate,ART  109,JEHAI,12,3,0,0,1,0,2,2,0,0,0,1,0,0,
36,2094,Fall 2009,1:Undergraduate,ART  109,WPGRG,8,3,4,0,1,1,0,2,0,1,0,1,0,0,
37,2094,Fall 2009,1:Undergraduate,ART  112,ZPBGG,5,3,4,5,1,2,1,0,4,1,0,0,0,0,
38,2094,Fall 2009,1:Undergraduate,ART  122,RKPFI,3,10,1,3,2,1,1,0,0,0,0,0,2,0,
39,2094,Fall 2009,1:Undergraduate,ART  122,ZPBGG,5,6,9,7,1,0,0,0,1,0,0,0,0,0,
40,2094,Fall 2009,1:Undergraduate,ART  250,OGBSH,11,6,5,3,1,0,0,1,0,0,0,3,0,1,
41,2094,Fall 2009,1:Undergraduate,ART  250,POLMI,26,4,0,3,4,2,1,1,1,0,1,2,0,0,
42,2094,Fall 2009,1:Undergraduate,ART  280,OSHVH,7,7,4,0,1,4,2,0,1,1,2,1,0,2,
43,2094,Fall 2009,1:Undergraduate,ART  290,SOMNH,9,5,2,3,1,0,0,1,0,0,0,0,0,0,
44,2094,Fall 2009,1:Undergraduate,ART  290,XOLMI,14,2,2,16,4,4,2,0,2,0,0,0,1,2,
45,2094,Fall 2009,1:Undergraduate,ART  301,PHHRF,11,6,3,8,4,2,4,1,1,0,0,2,1,0,
46,2094,Fall 2009,1:Undergraduate,ART  301,RZCVS,4,21,21,32,3,2,2,0,0,0,0,7,1,0,
47,2094,Fall 2009,1:Undergraduate,ART  301,VQGLI,1,6,5,6,2,1,3,2,0,0,0,0,0,2,
48,2094,Fall 2009,1:Undergraduate,ART  312,VQGLI,1,0,5,4,1,0,1,0,0,0,0,0,0,1,
49,2094,Fall 2009,1:Undergraduate,ART  319,PHHRF,10,9,0,4,1,2,1,0,0,0,0,0,0,0,
50,2094,Fall 2009,1:Undergraduate,ART  321,PENJI,8,0,5,1,1,4,1,0,0,0,0,1,0,1,
51,2094,Fall 2009,1:Undergraduate,ART  321,RKPFI,4,6,2,7,1,0,0,0,0,1,0,0,0,1,
52,2094,Fall 2009,1:Undergraduate,ART  325,RKLNI,6,6,3,6,0,2,1,0,0,0,0,0,0,0,
