,term code,Term,level,subj_code,subj_desc,crse_number,seq_number,Instructor,A,A+,A-,B,B+,B-,C,C+,C-,D,D+,D-,F,I,NP,P,S,U,W
0,201330,F2013,EX,ARTS,Art,003,001,"GOMEZ,PAUL RICHARD",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,201330,F2013,EX,BIO,Biological Sciences,001,001,"DULAI,KANWALJIT SINGH",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,201330,F2013,EX,CHEM,Chemistry,008,001,"LIWANG,PATRICIA JEAN",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,201330,F2013,EX,CHEM,Chemistry,111,001,"LIWANG,ANDY CHANG-CHUNG",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,201330,F2013,EX,CHEM,Chemistry,115,001,"MENKE,ERIK J",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,201330,F2013,EX,CHEM,Chemistry,120,001,"KELLEY,DAVID F.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,201330,F2013,EX,ENVE,Environmental Engineering,130,001,"ROGGE,WOLFGANG FRITZ",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,201330,F2013,EX,MSE,Materials Science & Engr,114,001,"VINEY,CHRISTOPHER",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,201330,F2013,EX,WRI,Writing,100,002,"WEBB,BYRON J",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,201330,F2013,GR,ANTH,Anthropology,100,001,"REBHUN,LINDA ANN",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,201330,F2013,GR,ANTH,Anthropology,121,001,"REBHUN,LINDA ANN",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,201330,F2013,GR,ANTH,Anthropology,140,001,"TUNG,BURCU",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,201330,F2013,GR,BEST,Bio Engin Small Scale Tech,224,001,"VINEY,CHRISTOPHER",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,201330,F2013,GR,BEST,Bio Engin Small Scale Tech,291,001,"TUNG,CHUN-CHIH VINCENT",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,201330,F2013,GR,BEST,Bio Engin Small Scale Tech,292,001,"LEPPERT,VALERIE J",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,201330,F2013,GR,BEST,Bio Engin Small Scale Tech,292,004,"LU,JENNIFER QING",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,201330,F2013,GR,BEST,Bio Engin Small Scale Tech,292,005,"MCCLOSKEY,KARA ELIZABETH",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,201330,F2013,GR,BEST,Bio Engin Small Scale Tech,292,007,"DAVILA,LILIAN PATRICIA",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,201330,F2013,GR,BEST,Bio Engin Small Scale Tech,293,001,"MCCLOSKEY,KARA ELIZABETH",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,201330,F2013,GR,BEST,Bio Engin Small Scale Tech,294,001,"TRAINA,SAMUEL JUSTIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
20,201330,F2013,GR,BEST,Bio Engin Small Scale Tech,299,001,"MCCLOSKEY,KARA ELIZABETH",0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,201330,F2013,GR,CHEM,Chemistry,008,001,"LIWANG,PATRICIA JEAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,201330,F2013,GR,CHEM,Chemistry,291,001,"KELLEY,ANNE M.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
23,201330,F2013,GR,CHEM,Chemistry,202,001,"TSAO,MENG-LIN",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,201330,F2013,GR,CHEM,Chemistry,212,001,"JOHNSON,ERIN RAE",0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,201330,F2013,GR,CHEM,Chemistry,231,001,"KELLEY,ANNE M.",1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,201330,F2013,GR,CHEM,Chemistry,260,001,"COLVIN,MICHAEL E",7,3,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
27,201330,F2013,GR,CHEM,Chemistry,298,001,"MENKE,ERIK J",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
28,201330,F2013,GR,COGS,Cognitive Science,298,001,"WOODWARD,JULIUS ARTHUR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
29,201330,F2013,GR,COGS,Cognitive Science,298,029,"MATLOCK,TEENIE G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
30,201330,F2013,GR,COGS,Cognitive Science,180,002,"DALE,RICHARD ALAN CLARKE",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,201330,F2013,GR,COGS,Cognitive Science,201,001,"SPIVEY,MICHAEL JAMES",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,201330,F2013,GR,COGS,Cognitive Science,250,001,"YOSHIMI,JEFFREY KAZUO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
33,201330,F2013,GR,COGS,Cognitive Science,269,001,"WARLAUMONT,ANNE SANDA",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,201330,F2013,GR,CSE,Computer Science & Engineering,160,001,"CERPA,ALBERTO EDUARDO",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35,201330,F2013,GR,EECS,Elect. Engr. & Comp. Sci.,299,001,"SINGHAL,MUKESH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,201330,F2013,GR,EECS,Elect. Engr. & Comp. Sci.,250,001,"CERPA,ALBERTO EDUARDO",1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
37,201330,F2013,GR,EECS,Elect. Engr. & Comp. Sci.,270,001,"CARPIN,STEFANO",1,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,201330,F2013,GR,EECS,Elect. Engr. & Comp. Sci.,275,001,"YANG,MING HSUAN",9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,201330,F2013,GR,EECS,Elect. Engr. & Comp. Sci.,290,001,"YANG,MING HSUAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
40,201330,F2013,GR,ENGR,Engineering,130,001,"MODEST,MICHAEL F",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,201330,F2013,GR,ENGR,Engineering,180,001,"GUO,QINGHUA",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,201330,F2013,GR,ENGR,Engineering,135,001,"DIAZ,GERARDO CRISTIAN",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,201330,F2013,GR,ENGR,Engineering,151,001,"GARGOVA,SVETLA GUEORGUIEVA",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,201330,F2013,GR,ES,Environmental Systems (GR),224,001,"HART,STEPHEN COERT",3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,201330,F2013,GR,ES,Environmental Systems (GR),291,001,"CONKLIN,MARTHA H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
46,201330,F2013,GR,ES,Environmental Systems (GR),292,001,"GUO,QINGHUA",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,201330,F2013,GR,ES,Environmental Systems (GR),292,006,"O'DAY,PEGGY ANNE",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,201330,F2013,GR,ES,Environmental Systems (GR),292,030,"GUO,QINGHUA",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,201330,F2013,GR,ES,Environmental Systems (GR),299,012,"GUO,QINGHUA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
50,201330,F2013,GR,ES,Environmental Systems (GR),299,014,"GUO,QINGHUA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
51,201330,F2013,GR,ES,Environmental Systems (GR),298,003,"DAWSON,MICHAEL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52,201330,F2013,GR,ES,Environmental Systems (GR),222,001,"BERHE,ASMERET ASEFAW",4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,201330,F2013,GR,ES,Environmental Systems (GR),234,001,"ROGGE,WOLFGANG FRITZ",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,201330,F2013,GR,GASP,Global Arts Studies Program,171,001,"WANG,SHIPU",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,201330,F2013,GR,MATH,Mathematics,140,001,"MARCIA,ROUMMEL FUERTES",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,201330,F2013,GR,MATH,Mathematics,291,001,"GREGG,KARIN LEIDERMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
57,201330,F2013,GR,MATH,Mathematics,231,001,"KIM,ARNOLD D",5,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
58,201330,F2013,GR,MATH,Mathematics,298,001,"MEZA,JUAN CAMILO",4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,201330,F2013,GR,MATH,Mathematics,201,001,"LEI,YUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
60,201330,F2013,GR,MATH,Mathematics,050,001,"SOMASUNDERAM,NAVEEN",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,201330,F2013,GR,MATH,Mathematics,221,001,"GREGG,KARIN LEIDERMAN",6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
62,201330,F2013,GR,MATH,Mathematics,233,001,"TOKMAN,MAYYA",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,201330,F2013,GR,MATH,Mathematics,399,001,"LEI,YUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
64,201330,F2013,GR,ME,Mechanical Engineering,254,001,"MA,YANBAO",2,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,201330,F2013,GR,ME,Mechanical Engineering,261,001,"LEE,MIN HWAN",2,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,201330,F2013,GR,ME,Mechanical Engineering,280,001,"CHEN,YANGQUAN",8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,201330,F2013,GR,MGMT,Management,191,004,"LEE,SANGBOK",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,201330,F2013,GR,MSE,Materials Science & Engr,118,001,"LU,JENNIFER QING",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,201330,F2013,GR,PHYS,Physics,292,001,"MITCHELL,KEVIN ANDREW",1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,201330,F2013,GR,PHYS,Physics,293,001,"XU,JING",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
71,201330,F2013,GR,PHYS,Physics,116,001,"XU,JING",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,201330,F2013,GR,PHYS,Physics,205,001,"SCHEIBNER,MICHAEL",2,3,3,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
73,201330,F2013,GR,PHYS,Physics,210,001,"WINSTON,ROLAND",5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,201330,F2013,GR,PHYS,Physics,241,001,"GHOSH,SAYANTANI",6,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
75,201330,F2013,GR,POLI,Political Science,212,001,"FORTUNATO,DAVID",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,201330,F2013,GR,POLI,Political Science,290,001,"HIBBING,MATTHEW VERNON",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,201330,F2013,GR,POLI,Political Science,290,002,"NICHOLSON,STEPHEN P",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,201330,F2013,GR,POLI,Political Science,290,003,"TROUNSTINE,JESSICA LUCE",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,201330,F2013,GR,POLI,Political Science,210,001,"TROUNSTINE,JESSICA LUCE",4,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,201330,F2013,GR,POLI,Political Science,200,001,"THEODORIDIS,ALEXANDER GEOR",5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,201330,F2013,GR,POLI,Political Science,220,001,"MONROE,NATHAN W",2,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,201330,F2013,GR,PSY,Psychology,299,001,"GILGER,JEFFREY WILLIAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83,201330,F2013,GR,PSY,Psychology,290,001,"WALLE,ERIC ALF",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,201330,F2013,GR,PSY,Psychology,220,001,"CAMERON,LINDA DIANE",3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,201330,F2013,GR,PSY,Psychology,150,001,"MC DIARMID,JAMES MC KINNON",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,201330,F2013,GR,PSY,Psychology,200A,002,"WALLANDER,JAN L",8,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,201330,F2013,GR,PSY,Psychology,202A,001,"VEVEA,JACK LEWIS",12,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,201330,F2013,GR,PSY,Psychology,206,001,"SHADISH,WILLIAM R",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,201330,F2013,GR,PSY,Psychology,207,001,"DEPAOLI,SARAH ANN",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,201330,F2013,GR,PSY,Psychology,230,001,"SCOTT,ROSE MARIE",3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,201330,F2013,GR,PSY,Psychology,289,001,"WALLE,ERIC ALF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
92,201330,F2013,GR,PSY,Psychology,297,066,"GILGER,JEFFREY WILLIAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
93,201330,F2013,GR,PSY,Psychology,297,109,"SONG,ANNA VANIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
94,201330,F2013,GR,PSY,Psychology,297,142,"WALLANDER,JAN L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
95,201330,F2013,GR,QSB,Quantitative & Systems Biology,291,001,"FILIPP,FABIAN VOLKER",3,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
96,201330,F2013,GR,QSB,Quantitative & Systems Biology,292,001,"ARDELL,DAVID HERMAN",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,201330,F2013,GR,QSB,Quantitative & Systems Biology,292,002,"CHOI,JINAH",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,201330,F2013,GR,QSB,Quantitative & Systems Biology,292,004,"OJCIUS,DAVID MARCELO",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,201330,F2013,GR,QSB,Quantitative & Systems Biology,292,005,"ORTIZ,RUDY M",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,201330,F2013,GR,QSB,Quantitative & Systems Biology,292,006,"LOOTS,GABRIELA G",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,201330,F2013,GR,QSB,Quantitative & Systems Biology,292,003,"DAWSON,MICHAEL",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,201330,F2013,GR,QSB,Quantitative & Systems Biology,292,012,"LIWANG,PATRICIA JEAN",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,201330,F2013,GR,QSB,Quantitative & Systems Biology,292,014,"FRANK,ANNA CAROLIN",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,201330,F2013,GR,QSB,Quantitative & Systems Biology,292,008,"MCCLOSKEY,KARA ELIZABETH",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,201330,F2013,GR,QSB,Quantitative & Systems Biology,292,009,"CLEARY,MICHAEL DAVID",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,201330,F2013,GR,QSB,Quantitative & Systems Biology,292,010,"MANILAY,JENNIFER OLIVEROS",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,201330,F2013,GR,QSB,Quantitative & Systems Biology,292,015,"OVIEDO,NESTOR J",4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,201330,F2013,GR,QSB,Quantitative & Systems Biology,292,016,"LIWANG,ANDY CHANG-CHUNG",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,201330,F2013,GR,QSB,Quantitative & Systems Biology,292,017,"BARLOW,MIRIAM",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,201330,F2013,GR,QSB,Quantitative & Systems Biology,292,018,"CHIN,WEI-CHUN",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,201330,F2013,GR,QSB,Quantitative & Systems Biology,292,019,"WOLF,FREDERICK WILLIAM",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,201330,F2013,GR,QSB,Quantitative & Systems Biology,292,020,"FILIPP,FABIAN VOLKER",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,201330,F2013,GR,QSB,Quantitative & Systems Biology,292,021,"COLVIN,MICHAEL E",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,201330,F2013,GR,QSB,Quantitative & Systems Biology,292,022,"HART,STEPHEN COERT",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,201330,F2013,GR,QSB,Quantitative & Systems Biology,292,023,"KITAZAWA,MASASHI",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
